Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,CARBON_MONOXIDE_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,ODS_EMISSIONS,CO2_SCOPE_1,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,GHG_SCOPE_2_MARKET_BASED,GHG_SCOPE_3,SCOPE_OF_DISCLOSURE,CARBON_PER_UNIT_OF_PROD,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,RENEW_ENERGY_USE,ELECTRICITY_USED,COAL_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,WASTE_RECYCLED,WASTE_SENT_TO_LANDFILLS,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_MGT,PCT_MINORITY_EMPLOYEES,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,POLITICAL_DONATIONS,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,FATALITIES_TOTAL,TOTAL_RECORDABLE_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,PCT_EMPLOYEES_UNIONIZED,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AGE_LIMIT,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-29 00:00:00,207.21,174.773,32.437,4.925,4.925,,,0,0,0,0,0,25.841,,,,,237.976,410.274,425.689,15.415,0,,,35.235,,,,,,,,35.235,445.509,683.485,-119.79,-68.073,-296.32,0,-296.32,0,0,0,,,,,-5.838,,-302.158,0,-3.071,348.885,348.913,-0.028,-3.975,,341.839,,-28.392,0,0,-364.393,,,-10.5741,,,13.016,,43.401,,-30.385,0,76.724,47.597,13.821,,,,-107.109,,12.681,29.111,16.43,,,,-119.79,,,,,,,,,,0,-119.79,0,,,-119.79,0,-119.79,0,0,-119.79,,34.461,-3.48,-3.48,-3.48,34.461,-3.48,-3.48,-3.48,US GAAP,-53.955,-414.5283,-107.109,-233.4435,-822.9026,-920.3288,41189.8734,,,,,,-920.3288,-920.3288,-920.3288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31 00:00:00,87.721,58.831,28.89,6.909,6.909,,,,,,,,8.588,,,,,103.218,428.917,485.518,56.601,,,,42.919,,,,,,,,42.919,471.836,575.054,-188.415,-68.854,-57.791,0,-57.791,0,0,0,,,,,-95.223,,-153.014,0,107.445,1.9,1.918,-0.018,-3.419,,105.926,,-115.942,0.018,,-126.645,,,-1.6096,,,63.414,,94.889,,-31.475,0,75.221,75.221,16.935,,,,-106.696,,33.154,43.81,10.656,,,,-188.415,48.565,,,,,,,,,,-188.415,,,,,,-188.415,0,0,-188.415,,78.681,-2.39,-2.39,-1.7728,78.681,-2.39,-2.39,-1.7728,US GAAP,-57.051,-89.9659,-106.696,-49.6342,-168.2531,-297.1189,233139.7059,-65.1237,-29.9419,,,0.8195,-297.1189,-297.1189,-297.1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31 00:00:00,41.216,41.216,0,9.152,9.152,,,0,0,0,0,0,13.127,,,,,63.495,390.048,499.874,109.826,0,,,38.46,24.981,,,,,,,13.479,428.508,492.003,-21.618,-27.509,-6.508,0,-6.508,0,0,0,,,,,-1.02,,-7.528,0,-10.899,0.537,0.537,0,27.784,,17.422,,-17.615,0.039,0,-34.017,,,-11.3769,,,77.188,,104.073,,-26.885,0,45.906,45.906,15.247,,,,-72.791,,34.1,35.098,0.998,,,,-21.618,-85.273,,,,,,,,,0,-21.618,0,,,-21.618,0,-21.618,0,0,-21.618,,2.99,-7.23,-7.23,-35.7494,2.99,-7.23,-7.23,-35.7494,US GAAP,-11.831,-15.3275,-72.791,-34.8305,-94.3035,-28.0069,162501.0526,-8.865,-4.0519,,,246.1522,-28.0069,-28.0069,-28.0069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31 00:00:00,72.971,60.428,12.543,10.178,10.178,,,0,0,0,0,0,3.139,,,,,86.288,343.554,509.008,165.454,0,,,34.69,21.228,21.228,0,,,,,13.462,378.244,464.532,-84.171,-17.266,-7.75,0,-7.75,0,0,0,,,,,-7.87,,-15.62,0,-53.303,106.564,106.564,0,-1.163,,52.098,,19.212,0.02,0,-25.016,,-78.319,-2.6047,,,117.942,,128.121,,-10.179,0,53.776,53.776,19.483,,,,-63.955,,20.216,20.512,0.296,,,,-84.171,,,,,,,,,,0,-84.171,0,,,-84.171,0,-84.171,0,0,-84.171,,9.604,-8.76,-8.76,-8.76,9.604,-8.76,-8.76,-8.76,US GAAP,4.872,4.1308,-63.955,-8.6305,-54.2258,-71.3664,273647.3341,-27.8589,-17.5991,,,21.6813,-71.3664,-71.3664,-71.3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31 00:00:00,90.437,25.938,64.499,11.919,11.919,,,0,0,0,0,0,4.726,,,,,107.082,343.361,563.769,220.408,17.655,,,33.7,22.253,22.018,0.235,,,,,11.447,394.716,501.798,-68.631,36.912,-22.934,0,-22.934,0,0,0,,,,,-33.931,,-56.865,0,17.862,7.289,7.289,0,-6.129,,19.022,,-0.931,0,0,13.978,,31.84,0.7889,54.1787,,163.671,,136.95,,26.721,,51.098,,,,,,-24.377,,10.205,11.496,1.291,,,,-68.478,33.896,,,,,,,,,0.153,-68.631,0,,,-68.631,0,-68.631,0,0,-68.631,33.896,17.719,-3.87,-3.87,-1.96,17.719,-3.87,-3.87,-1.96,US GAAP,35.614,21.7595,-24.377,16.326,-14.8939,-41.9323,,-23.1167,-14.2045,,,86.549,-41.8388,-41.9323,-41.9323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-30 00:00:00,171.372,119.267,52.105,17.237,17.237,,,0,0,0,0,0,3.103,,,,,191.712,438.79,718.817,280.027,17.483,,,33.012,21.829,21.654,0.175,,,,,11.183,489.285,680.997,-42.612,67.595,-120.923,0.125,-121.048,0,0,0,,,,,12.201,,-108.722,0,84.477,12.989,12.989,0,36.99,,134.456,,93.329,0,0,-53.453,,31.147,-2.2313,51.6688,,221.057,,158.354,,62.703,,65.662,65.662,20.552,,,,-2.959,,5.296,8.88,3.584,,,,-42.069,42.09,,,,,,,,,0.543,-42.612,0,,,-42.612,0,-42.612,0,0,-42.612,42.09,23.956,-1.78,-1.78,-0.01,23.956,-1.78,-1.78,-0.01,US GAAP,70.139,31.7289,-2.959,28.3651,-1.3386,-19.2765,,-15.1542,-7.2053,,,37.3227,-19.0308,-19.2765,-19.2765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-29 00:00:00,131.394,82.563,48.831,26.864,26.864,,,0,0,0,0,0,8.003,,,,,166.261,546.395,895.871,349.476,25.087,,,34.089,17.441,16.919,0.522,,,,,16.648,605.571,771.832,-6.397,75.412,-154.729,0.008,-154.737,0,0,0,,,,,-3.741,,-158.47,0,-32.61,39.528,39.528,0,39.436,,46.354,,-36.704,0.545,9.766,-79.325,,-111.927,-2.7784,,,286.915,,188.379,,98.536,,96.622,104.742,32.619,,,,1.914,,8.248,14.875,6.627,,,,-6.334,-8.12,,,,,,,,,0.439,-6.773,-0.376,,,-6.397,0,-6.397,0,0,-6.397,-8.12,28.551,-0.22,-0.23,-0.51,28.551,-0.22,-0.23,-0.51,US GAAP,74.692,26.0328,1.914,34.3433,0.6671,-2.2296,465771.1039,-1.9876,-0.8806,,,7.3993,-2.2076,-2.3606,-2.2296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12-31 00:00:00,353.934,290.633,63.301,60.089,60.089,,,0,0,0,0,0,12.738,,,,,426.761,1162.72,1614.379,451.659,29.966,,,562.421,510.133,442.926,67.207,,,,,52.288,1755.107,2181.868,-5.188,120.02,-415.934,0.877,-416.811,0,0,0,,,,,-638.791,,-1054.725,0,791.036,376.264,376.264,0,-24.525,,1142.775,,208.07,0.242,662.322,-296.791,,495.122,-9.2355,,,419.442,,263.745,,155.697,,146.513,146.513,40.719,,,,9.184,,11.928,27.334,15.406,,,,-4.715,5.018,,,,,,,,,0.473,-5.188,0,,,-5.188,0,-5.188,0,0,-5.188,5.018,32.136,-0.16,-0.16,-0.0039,32.136,-0.16,-0.16,-0.0039,US GAAP,109.264,26.0498,9.184,37.12,2.1896,-1.2369,,-0.8872,-0.3513,,,5.4857,-1.1241,-1.2369,-1.2369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
