Date,Revenue,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Membership Fees,Same Store Sales %,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales % with fuel,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Total Square Feet/Meter,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Foreign Exchange Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Cannibalization Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Same Store Sales Gas Effect,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Number of Locations,  Owned,  Owned,    United States,    United States,    United States,    United States,    Canada,    Canada,    Canada,    Canada,    Mexico,    Mexico,    Mexico,    Mexico,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Japan,    Japan,    Japan,    Japan,    Korea,    Korea,    Korea,    Korea,    Australia,    Australia,    Australia,    Australia,    Spain,    Spain,    Spain,    Spain,    Taiwan,    Taiwan,    Taiwan,    Taiwan,  Leased,  Leased,    United States,    United States,    United States,    United States,    Japan,    Japan,    Japan,    Japan,    Canada,    Canada,    Canada,    Canada,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Korea,    Korea,    Korea,    Korea,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Australia,    Australia,    Australia,    Australia,    Mexico,    Mexico,    Mexico,    Mexico,    Spain,    Spain,    Spain,    Spain,Retail - Number of Locations Opened,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Retail - Number of Locations Closed,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Number of Stores by Ownership,  Owned,  Owned,    United States,    United States,    United States,    United States,    Canada,    Canada,    Canada,    Canada,    Mexico,    Mexico,    Mexico,    Mexico,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Japan,    Japan,    Japan,    Japan,    Korea,    Korea,    Korea,    Korea,    Australia,    Australia,    Australia,    Australia,    Spain,    Spain,    Spain,    Spain,    Taiwan,    Taiwan,    Taiwan,    Taiwan,  Leased,  Leased,    United States,    United States,    United States,    United States,    Japan,    Japan,    Japan,    Japan,    Canada,    Canada,    Canada,    Canada,    Taiwan,    Taiwan,    Taiwan,    Taiwan,    Korea,    Korea,    Korea,    Korea,    United Kingdom,    United Kingdom,    United Kingdom,    United Kingdom,    Australia,    Australia,    Australia,    Australia,    Mexico,    Mexico,    Mexico,    Mexico,    Spain,    Spain,    Spain,    Spain,Ticket or Ticket per Transaction,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,  Warehouse Clubs,Warehouse Club Membership Base,  Paid Members,    Gold Star,"    Business, Including Affiliates","    Business, Add-on",    Business,  Household Card,    Executive,Source: Bloomberg
11/21/2004,11578.003,11339.944,—,7,57489.028,—,—,—,4,0,—,238.059,—,11339.944,—,7,57489.028,—,—,—,4,0,—,—,11339.944,—,7,57489.028,—,—,—,4,0,—,57489.028,11339.944,—,7,57489.028,—,—,—,4,0,—,—,11339.944,—,7,57489.028,—,—,—,4,0,—,—,11339.944,—,7,57489.028,—,—,—,4,0,—,—,11339.944,—,7,57489.028,—,—,—,4,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,11339.944,—,7,57489.028,—,—,—,4,0,—,0,11339.944,—,7,57489.028,—,—,—,4,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,11339.944,—,7,57489.028,—,—,—,4,0,—,—,—,—,—,—,—,—,—,
02/13/2005,12658.077,12412.578,—,7,58162.76,—,—,—,5,0,—,245.499,—,12412.578,—,7,58162.76,—,—,—,5,0,—,—,12412.578,—,7,58162.76,—,—,—,5,0,—,58162.76,12412.578,—,7,58162.76,—,—,—,5,0,—,—,12412.578,—,7,58162.76,—,—,—,5,0,—,—,12412.578,—,7,58162.76,—,—,—,5,0,—,—,12412.578,—,7,58162.76,—,—,—,5,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5,12412.578,—,7,58162.76,—,—,—,5,0,—,0,12412.578,—,7,58162.76,—,—,—,5,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,12412.578,—,7,58162.76,—,—,—,5,0,—,—,—,—,—,—,—,—,—,
05/08/2005,11996.9,11747.113,—,7,58495.71,—,—,—,4,2,—,249.787,—,11747.113,—,7,58495.71,—,—,—,4,2,—,—,11747.113,—,7,58495.71,—,—,—,4,2,—,58495.71,11747.113,—,7,58495.71,—,—,—,4,2,—,—,11747.113,—,7,58495.71,—,—,—,4,2,—,—,11747.113,—,7,58495.71,—,—,—,4,2,—,—,11747.113,—,7,58495.71,—,—,—,4,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,11747.113,—,7,58495.71,—,—,—,4,2,—,2,11747.113,—,7,58495.71,—,—,—,4,2,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,11747.113,—,7,58495.71,—,—,—,4,2,—,—,—,—,—,—,—,—,—,
08/28/2005,16719.246,16379.435,—,7,59352.41,—,—,—,11,3,—,339.811,—,16379.435,—,7,59352.41,—,—,—,11,3,—,—,16379.435,—,7,59352.41,—,—,—,11,3,—,59352.41,16379.435,—,7,59352.41,—,—,—,11,3,—,—,16379.435,—,7,59352.41,—,—,—,11,3,—,—,16379.435,—,7,59352.41,—,—,—,11,3,—,—,16379.435,—,7,59352.41,—,—,—,11,3,—,—,—,358,—,—,257,81,—,—,57,8,—,—,27,—,—,—,14,2,—,—,1,4,—,—,2,3,—,—,—,—,—,—,—,—,—,—,0,4,—,102,—,—,257,81,—,—,1,4,—,—,57,8,—,—,0,4,—,—,2,3,—,—,14,2,—,—,—,—,—,—,27,—,—,—,—,—,11,16379.435,—,7,59352.41,—,—,—,11,3,—,3,16379.435,—,7,59352.41,—,—,—,11,3,—,460,—,358,—,—,257,81,—,—,57,8,—,—,27,—,—,—,14,2,—,—,1,4,—,—,2,3,—,—,—,—,—,—,—,—,—,—,0,4,—,102,—,—,257,81,—,—,1,4,—,—,57,8,—,—,0,4,—,—,2,3,—,—,14,2,—,—,—,—,—,—,27,—,—,—,—,—,—,16379.435,—,7,59352.41,—,—,—,11,3,—,—,—,—,—,—,—,—,—,
11/20/2005,12933.346,12670.792,—,9,61654.831,—,—,—,9,0,—,262.554,—,12670.792,—,9,61654.831,—,—,—,9,0,—,—,12670.792,—,9,61654.831,—,—,—,9,0,—,61654.831,12670.792,—,9,61654.831,—,—,—,9,0,—,—,12670.792,—,9,61654.831,—,—,—,9,0,—,—,12670.792,—,9,61654.831,—,—,—,9,0,—,—,12670.792,—,9,61654.831,—,—,—,9,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,9,12670.792,—,9,61654.831,—,—,—,9,0,—,0,12670.792,—,9,61654.831,—,—,—,9,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,12670.792,—,9,61654.831,—,—,—,9,0,—,—,—,—,—,—,—,—,—,
02/12/2006,14059.012,13789.246,—,7,61939.831,—,—,—,2,0,—,269.766,—,13789.246,—,7,61939.831,—,—,—,2,0,—,—,13789.246,—,7,61939.831,—,—,—,2,0,—,61939.831,13789.246,—,7,61939.831,—,—,—,2,0,—,—,13789.246,—,7,61939.831,—,—,—,2,0,—,—,13789.246,—,7,61939.831,—,—,—,2,0,—,—,13789.246,—,7,61939.831,—,—,—,2,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2,13789.246,—,7,61939.831,—,—,—,2,0,—,0,13789.246,—,7,61939.831,—,—,—,2,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,13789.246,—,7,61939.831,—,—,—,2,0,—,—,—,—,—,—,—,—,—,
05/07/2006,13273.175,12996.942,—,7,62846.57,—,—,—,7,1,—,276.233,—,12996.942,—,7,62846.57,—,—,—,7,1,—,—,12996.942,—,7,62846.57,—,—,—,7,1,—,62846.57,12996.942,—,7,62846.57,—,—,—,7,1,—,—,12996.942,—,7,62846.57,—,—,—,7,1,—,—,12996.942,—,7,62846.57,—,—,—,7,1,—,—,12996.942,—,7,62846.57,—,—,—,7,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7,12996.942,—,7,62846.57,—,—,—,7,1,—,1,12996.942,—,7,62846.57,—,—,—,7,1,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,12996.942,—,7,62846.57,—,—,—,7,1,—,—,—,—,—,—,—,—,—,
09/03/2006,19875.221,19495.727,—,8,64214.081,—,—,—,12,2,—,379.494,—,19495.727,—,8,64214.081,—,—,—,12,2,—,—,19495.727,—,8,64214.081,—,—,—,12,2,—,64214.081,19495.727,—,8,64214.081,—,—,—,12,2,—,—,19495.727,—,8,64214.081,—,—,—,12,2,—,—,19495.727,—,8,64214.081,—,—,—,12,2,—,—,19495.727,—,8,64214.081,—,—,—,12,2,—,—,—,388,—,—,281,77,—,—,59,9,—,—,29,—,—,—,16,2,—,—,1,4,—,—,2,3,—,—,—,—,—,—,—,—,—,—,0,4,—,99,—,—,281,77,—,—,1,4,—,—,59,9,—,—,0,4,—,—,2,3,—,—,16,2,—,—,—,—,—,—,29,—,—,—,—,—,12,19495.727,—,8,64214.081,—,—,—,12,2,—,2,19495.727,—,8,64214.081,—,—,—,12,2,—,487,—,388,—,—,281,77,—,—,59,9,—,—,29,—,—,—,16,2,—,—,1,4,—,—,2,3,—,—,—,—,—,—,—,—,—,—,0,4,—,99,—,—,281,77,—,—,1,4,—,—,59,9,—,—,0,4,—,—,2,3,—,—,16,2,—,—,—,—,—,—,29,—,—,—,—,—,—,19495.727,—,8,64214.081,—,—,—,12,2,—,47679,22552,17338,—,—,5214,25127,—,
11/26/2006,14151.624,13852.321,—,-4,65856.325,—,—,—,13,0,—,299.303,—,13852.321,—,-4,65856.325,—,—,—,13,0,—,—,13852.321,—,-4,65856.325,—,—,—,13,0,—,65856.325,13852.321,—,-4,65856.325,—,—,—,13,0,—,—,13852.321,—,-4,65856.325,—,—,—,13,0,—,—,13852.321,—,-4,65856.325,—,—,—,13,0,—,—,13852.321,—,-4,65856.325,—,—,—,13,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,13,13852.321,—,-4,65856.325,—,—,—,13,0,—,0,13852.321,—,-4,65856.325,—,—,—,13,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,13852.321,—,-4,65856.325,—,—,—,13,0,—,—,—,—,—,—,—,—,—,
02/18/2007,15112.016,14804.696,—,5,66572.325,—,—,—,4,0,—,307.32,—,14804.696,—,5,66572.325,—,—,—,4,0,—,—,14804.696,—,5,66572.325,—,—,—,4,0,—,66572.325,14804.696,—,5,66572.325,—,—,—,4,0,—,—,14804.696,—,5,66572.325,—,—,—,4,0,—,—,14804.696,—,5,66572.325,—,—,—,4,0,—,—,14804.696,—,5,66572.325,—,—,—,4,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,14804.696,—,5,66572.325,—,—,—,4,0,—,0,14804.696,—,5,66572.325,—,—,—,4,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,14804.696,—,5,66572.325,—,—,—,4,0,—,—,—,—,—,—,—,—,—,
05/13/2007,14659.255,14341.52,—,7,67464.625,—,—,—,6,0,—,317.735,—,14341.52,—,7,67464.625,—,—,—,6,0,—,—,14341.52,—,7,67464.625,—,—,—,6,0,—,67464.625,14341.52,—,7,67464.625,—,—,—,6,0,—,—,14341.52,—,7,67464.625,—,—,—,6,0,—,—,14341.52,—,7,67464.625,—,—,—,6,0,—,—,14341.52,—,7,67464.625,—,—,—,6,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,6,14341.52,—,7,67464.625,—,—,—,6,0,—,0,14341.52,—,7,67464.625,—,—,—,6,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,14341.52,—,7,67464.625,—,—,—,6,0,—,—,—,—,—,—,—,—,—,
09/02/2007,20477.26,20089.064,—,6,68668.068,—,—,—,8,0,—,388.196,—,20089.064,—,6,68668.068,—,—,—,8,0,—,—,20089.064,—,6,68668.068,—,—,—,8,0,—,68668.068,20089.064,—,6,68668.068,—,—,—,8,0,—,—,20089.064,—,6,68668.068,—,—,—,8,0,—,—,20089.064,—,6,68668.068,—,—,—,8,0,—,—,20089.064,—,6,68668.068,—,—,—,8,0,—,—,—,414,—,—,301,82,—,—,62,9,—,—,30,—,—,—,18,1,—,—,1,5,—,—,2,3,—,—,—,—,—,—,—,—,—,—,0,4,—,104,—,—,301,82,—,—,1,5,—,—,62,9,—,—,0,4,—,—,2,3,—,—,18,1,—,—,—,—,—,—,30,—,—,—,—,—,8,20089.064,—,6,68668.068,—,—,—,8,0,—,0,20089.064,—,6,68668.068,—,—,—,8,0,—,518,—,414,—,—,301,82,—,—,62,9,—,—,30,—,—,—,18,1,—,—,1,5,—,—,2,3,—,—,—,—,—,—,—,—,—,—,0,4,—,104,—,—,301,82,—,—,1,5,—,—,62,9,—,—,0,4,—,—,2,3,—,—,18,1,—,—,—,—,—,—,30,—,—,—,—,—,—,20089.064,—,6,68668.068,—,—,—,8,0,—,50400,24000,18600,—,—,5400,26400,—,
11/25/2007,15809.53,15471.5,—,8,69691.072,2.5,1.1,1.5,10,4,5.5,338.03,—,15471.5,—,8,69691.072,2.5,1.1,1.5,10,4,5.5,—,15471.5,—,8,69691.072,2.5,1.1,1.5,10,4,5.5,69691.072,15471.5,—,8,69691.072,2.5,1.1,1.5,10,4,5.5,—,15471.5,—,8,69691.072,2.5,1.1,1.5,10,4,5.5,—,15471.5,—,8,69691.072,2.5,1.1,1.5,10,4,5.5,—,15471.5,—,8,69691.072,2.5,1.1,1.5,10,4,5.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,10,15471.5,—,8,69691.072,2.5,1.1,1.5,10,4,5.5,4,15471.5,—,8,69691.072,2.5,1.1,1.5,10,4,5.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,15471.5,—,8,69691.072,2.5,1.1,1.5,10,4,5.5,—,—,—,—,—,—,—,—,
02/17/2008,16959.886,16616.962,—,7,70964.582,1.85,1,2.2,7,0,5,342.924,—,16616.962,—,7,70964.582,1.85,1,2.2,7,0,5,—,16616.962,—,7,70964.582,1.85,1,2.2,7,0,5,70964.582,16616.962,—,7,70964.582,1.85,1,2.2,7,0,5,—,16616.962,—,7,70964.582,1.85,1,2.2,7,0,5,—,16616.962,—,7,70964.582,1.85,1,2.2,7,0,5,—,16616.962,—,7,70964.582,1.85,1,2.2,7,0,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7,16616.962,—,7,70964.582,1.85,1,2.2,7,0,5,0,16616.962,—,7,70964.582,1.85,1,2.2,7,0,5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,16616.962,—,7,70964.582,1.85,1,2.2,7,0,5,—,—,—,—,—,—,—,—,
05/11/2008,16613.717,16262.793,—,8,71334.844,2.2,1,2.25,5,0,4.5,350.924,—,16262.793,—,8,71334.844,2.2,1,2.25,5,0,4.5,—,16262.793,—,8,71334.844,2.2,1,2.25,5,0,4.5,71334.844,16262.793,—,8,71334.844,2.2,1,2.25,5,0,4.5,—,16262.793,—,8,71334.844,2.2,1,2.25,5,0,4.5,—,16262.793,—,8,71334.844,2.2,1,2.25,5,0,4.5,—,16262.793,—,8,71334.844,2.2,1,2.25,5,0,4.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,5,16262.793,—,8,71334.844,2.2,1,2.25,5,0,4.5,0,16262.793,—,8,71334.844,2.2,1,2.25,5,0,4.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,16262.793,—,8,71334.844,2.2,1,2.25,5,0,4.5,—,—,—,—,—,—,—,—,
08/31/2008,23099.887,22626.229,9,9,72451.456,6,0.7,3,13,6,6,473.658,—,22626.229,9,9,72451.456,6,0.7,3,13,6,6,—,22626.229,9,9,72451.456,6,0.7,3,13,6,6,72451.456,22626.229,9,9,72451.456,6,0.7,3,13,6,6,—,22626.229,9,9,72451.456,6,0.7,3,13,6,6,—,22626.229,9,9,72451.456,6,0.7,3,13,6,6,—,22626.229,9,9,72451.456,6,0.7,3,13,6,6,—,—,433,—,—,314,84,—,—,66,9,—,—,31,—,—,—,18,2,—,—,1,7,—,—,3,3,—,—,—,—,—,—,—,—,—,—,0,5,—,110,—,—,314,84,—,—,1,7,—,—,66,9,—,—,0,5,—,—,3,3,—,—,18,2,—,—,—,—,—,—,31,—,—,—,—,—,13,22626.229,9,9,72451.456,6,0.7,3,13,6,6,6,22626.229,9,9,72451.456,6,0.7,3,13,6,6,543,—,433,—,—,314,84,—,—,66,9,—,—,31,—,—,—,18,2,—,—,1,7,—,—,3,3,—,—,—,—,—,—,—,—,—,—,0,5,—,110,—,—,314,84,—,—,1,7,—,—,66,9,—,—,0,5,—,—,3,3,—,—,18,2,—,—,—,—,—,—,31,—,—,—,—,—,—,22626.229,9,9,72451.456,6,0.7,3,13,6,6,53500,25800,20200,—,—,5600,27700,—,
11/23/2008,16395,16036,1,1,73675.937,3,0.5,0,8,1,-1.5,359,—,16036,1,1,73675.937,3,0.5,0,8,1,-1.5,—,16036,1,1,73675.937,3,0.5,0,8,1,-1.5,73675.937,16036,1,1,73675.937,3,0.5,0,8,1,-1.5,—,16036,1,1,73675.937,3,0.5,0,8,1,-1.5,—,16036,1,1,73675.937,3,0.5,0,8,1,-1.5,—,16036,1,1,73675.937,3,0.5,0,8,1,-1.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8,16036,1,1,73675.937,3,0.5,0,8,1,-1.5,1,16036,1,1,73675.937,3,0.5,0,8,1,-1.5,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,16036,1,1,73675.937,3,0.5,0,8,1,-1.5,—,—,—,—,—,—,—,—,
02/15/2009,16843,16488,5,-3,73675.937,4,0.2,-3,0,0,-7,355,—,16488,5,-3,73675.937,4,0.2,-3,0,0,-7,—,16488,5,-3,73675.937,4,0.2,-3,0,0,-7,73675.937,16488,5,-3,73675.937,4,0.2,-3,0,0,-7,—,16488,5,-3,73675.937,4,0.2,-3,0,0,-7,—,16488,5,-3,73675.937,4,0.2,-3,0,0,-7,—,16488,5,-3,73675.937,4,0.2,-3,0,0,-7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,0,16488,5,-3,73675.937,4,0.2,-3,0,0,-7,0,16488,5,-3,73675.937,4,0.2,-3,0,0,-7,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,16488,5,-3,73675.937,4,0.2,-3,0,0,-7,—,—,—,—,—,—,—,—,
