Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,CARBON_MONOXIDE_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,ODS_EMISSIONS,CO2_SCOPE_1,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,GHG_SCOPE_2_MARKET_BASED,GHG_SCOPE_3,SCOPE_OF_DISCLOSURE,CARBON_PER_UNIT_OF_PROD,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,RENEW_ENERGY_USE,ELECTRICITY_USED,COAL_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,WASTE_RECYCLED,WASTE_SENT_TO_LANDFILLS,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_MGT,PCT_MINORITY_EMPLOYEES,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,POLITICAL_DONATIONS,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,FATALITIES_TOTAL,TOTAL_RECORDABLE_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,PCT_EMPLOYEES_UNIONIZED,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AGE_LIMIT,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,25.009,25.009,,12.554,12.554,,,,,,,,,,,,,,2834.711,3006.236,171.525,,,,75.54,,,,,,,86.139,,,3033.953,39.749,192.273,,,,,-85.369,,,,,,0,,-570.861,0,561.252,0,0,0,,,,,20.239,,,-430.366,,,-4.2725,,4.8372,302.494,,,,,15.569,32.992,,,5.742,,32.992,88.635,45.326,52.704,52.704,0,,,-7.378,43.309,-7.378,,,,,-7.378,,,,0,43.309,0,0,0,43.309,3.56,39.749,35.318,0,4.431,-4.7957,100.729,0.04,0.04,-0.0036,100.869,0.04,0.04,-0.0075,US GAAP,166.887,55.1704,88.635,,29.3014,13.1404,,,,,,,,14.3173,1.4648,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,140.187,25.137,115.05,,,,,,,,,,,,,,,,3425.706,3369.06,58.404,,,,54.387,,,,,,,57.655,,,3562.885,112.593,177.18,,,,,,,,,,,-26.62,,-796.213,-88.236,462.511,264.093,264.093,,,,,,-14.831,,,-525.037,,-363.16,-6.1139,,1.5736,358.887,,,,,,,,,11.929,,,193.42,69.67,69.67,69.67,,,,0,123.75,,,,,,,,,,0,123.75,0,0,0,123.75,11.157,112.593,3.639,0,108.954,,85.8764,1.27,1.27,1.27,86.2352,1.26,1.26,1.26,US GAAP,250.884,69.9061,193.42,,53.8944,31.3728,,6.5893,3.4135,3.9003,6.0961,185.8121,,34.4816,30.3589,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,214.513,33.312,181.201,,,,,,,,,,,,,,,,3327.095,3249.452,103.558,,,,91.079,,,,,,,66.357,,,3621.55,176.103,190.391,,,,,746.037,,,,,,-94.693,,63.732,-160.566,-152.289,89.208,89.208,,,,,,13.402,,,-389.432,,-426.932,-4.514,,1.0811,439.658,,,,,,88.681,,,25.223,,88.681,150.326,-62.278,,,,,,-62.278,212.604,-53.753,,,,,-53.753,,,,,212.604,2.49,2.49,0,210.114,34.011,176.103,8.5,0,167.603,-53.753,86.2719,1.94,1.97,1.3485,86.3475,1.94,1.97,1.3475,US GAAP,217.831,49.5456,150.326,,34.1916,40.0545,,9.5816,4.9023,6.0112,4.9243,,,48.3567,38.1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-29 00:00:00,217.504,20.358,197.146,69.874,69.874,,,,,,,,,,,,,,4046.276,4026.597,177.467,,,,70.353,,,,,,,80.432,,,4425.626,121.782,261.175,,,,,85.345,,,,,,0.293,,-726.499,-130.68,416.158,63.593,63.593,,,,,,-12.954,,,-537.804,,-89.573,-6.4256,,2.1446,472.495,,,,,,,,,23.75,,,244.757,78.014,90.27,90.27,,,,-7.044,166.743,-7.044,,,,,-7.044,,,,0,166.743,0,0,0,166.743,44.961,121.782,8.5,0,113.282,-7.044,83.6972,1.35,1.35,1.2693,84.1553,1.35,1.35,1.2663,US GAAP,341.015,72.1733,244.757,,51.801,25.7742,,6.6539,3.0267,4.2696,6.4006,287.575,,35.2899,23.9753,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31 00:00:00,230.245,73.071,157.174,70.794,70.794,,,,,,,,,,,,,,4422.232,4530.711,265.653,,,,27.824,,,,,,,71.097,,,4760.893,137.953,288.562,,,,,,,,,,,261.549,,-363.152,-141.979,292.092,-79.291,68.001,-147.292,,,,,52.713,,,-336.139,,-4.705,-3.9934,,2.0917,595.378,,,,,,20.758,,,35.82,,20.758,289.19,87.09,128.985,128.985,,,,-36.428,202.1,-2.501,,,,,-23.259,,20.758,,0,202.1,0.606,0,0.606,201.494,63.541,137.953,8.5,4.4,125.053,-2.501,84.1746,1.49,1.49,1.4631,85.2141,1.47,1.47,1.4407,US GAAP,400.604,67.2857,289.19,,48.5725,23.1707,,7.515,3.0034,4.5275,6.6209,36.1588,,33.9448,21.004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31 00:00:00,197.203,89.332,107.871,74.207,74.207,,,,,,,,,,,,,,4671.313,4925.982,362.54,,,,52.199,,,,,,,64.428,,,4992.494,124.237,288.801,,,,,257.383,,,,,,-12.763,,-244.39,-112.085,-22.78,45.835,53.762,-7.927,,,,0,16.261,,,-274.29,,-246.84,-3.2924,,2.3246,600.142,,,,,11.193,2.846,,,47.207,,2.846,282.58,136.875,146.2,146.2,0,,,-3.651,145.705,-16.537,,-2.48,2.846,,-16.903,,,,0,145.705,-37.478,-37.478,0,183.183,58.946,124.237,8.496,0.412,115.329,-16.537,83.3109,1.39,0.9345,0.736,84.796,1.37,0.928,0.733,US GAAP,405.96,67.644,282.58,,47.0855,20.7013,,7.118,2.5476,3.8838,6.1116,,,24.2784,19.217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31 00:00:00,139.429,127.678,11.751,88.452,88.452,,,,,,,,,,,,,,5029.006,5491.707,474.452,,,,51.391,,,,,,,52.009,,,5420.666,134.019,271.536,,,,,423.996,,,,,,19.152,,-348.003,-152.239,165.817,38.437,110.32,-71.883,,,,2.791,38.346,,,-489.603,,-266.93,-6.0373,,2.0261,619.685,,,,,13.337,5.251,,,47.729,,5.251,273.284,119.458,146.773,146.773,0,,,-21.87,153.826,-45.074,,-7.429,5.251,,-42.896,,,,0,153.826,-51.432,-51.432,0,205.258,71.239,134.019,6.999,5.413,121.607,-45.074,81.0961,1.5,0.8653,0.3095,82.8525,1.47,0.8492,0.3052,US GAAP,406.798,65.6459,273.284,,44.1005,21.627,,7.7367,2.574,4.087,5.55,,,24.8233,19.624,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31 00:00:00,196.732,109.392,87.34,109.028,109.028,0,,,,,,,,,,,,,5997.838,6526.144,615.646,,,,64.58,,,,,,,55.166,,,6386.943,125.471,294.378,,,,,197.293,0,,,,,70.478,,-728.431,-145.951,348.423,126.619,126.619,0,,,,6.062,-18.286,,,-701.824,,-360.532,-8.5449,,2.3462,665.689,,,,,12.895,1.741,,,58.956,,1.741,276.46,136.366,153.894,157.852,0,,,-17.705,140.094,-5.219,,-5.219,,,,,,,0,140.094,-47.631,-47.631,0,187.725,62.254,125.471,7.131,0,118.34,-3.3924,82.1336,1.44,0.86,0.8196,85.3686,1.39,0.83,0.7903,US GAAP,436.486,65.5691,276.46,,41.5299,18.8483,,7.5785,2.1253,3.3055,4.9346,6.9037,,21.045,17.7771,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-30 00:00:00,283.572,232.881,50.691,178.682,178.682,0,,,,,,,,,,,,,6151.597,6798.294,697.388,,,,64.953,,,,,,,118.653,,,6802.739,257.807,295.815,,,,,1014.668,0,,,,,11.573,,-60.407,-154.07,206.128,120.816,120.816,0,,,,-10.063,123.489,,,-790.833,,-517.093,-9.4092,,1.1474,676.149,,,,,43.942,1.482,,,77.409,,1.482,268.612,58.313,149.492,149.492,0,,,-80.409,210.299,-19.099,,-19.099,,,,,,,0,210.299,-122.552,-122.552,0,332.851,75.044,257.807,7.388,0,250.419,-12.4144,84.0489,2.9794,1.5213,1.3736,87.8734,2.8498,1.4551,1.3139,US GAAP,434.05,64.1944,268.612,,39.7267,38.1287,,15.1887,3.9092,5.2568,4.4123,,,31.1025,37.0361,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
