Date,Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,      Vehicles,      Parts,      Parts For Production,      Others,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Intersegment Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Others,    Others,    Others,    Others,    Others,    Others,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Revenue Including Intersegment Revenue,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Operating Income,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Others,    Others,    Others,    Others,    Others,    Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Adjustments,  Adjustments,  Adjustments,Revenue Growth %,  Others,  Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Automotive,  Automotive,Revenue Including Intersegment Growth%,  Others,  Others,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Automotive,  Automotive,Assets,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Others,    Others,    Others,    Others,    Others,    Others,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,  Adjustments,  Adjustments,  Adjustments,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Number of Employees,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,  Goods & Products,    Others,    Others,    Others,    Others,    Others,    Others,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,    Automotive,  Adjustments,  Adjustments,  Adjustments,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,  Financial Services,Vehicles Sold - Retail Basis,  Total Retail Unit Sales,Source: Bloomberg
12/31/2013,6585.044,6229.811,145.19,6375.001,536.235,—,—,6082.074,14.513,6096.587,515.57,—,—,—,—,—,—,147.737,130.677,278.414,20.665,—,—,355.233,9.667,364.9,67.31,—,—,—,—,154.857,6229.811,145.19,6375.001,536.235,—,—,147.737,130.677,278.414,20.665,—,—,6082.074,14.513,6096.587,515.57,—,—,355.233,9.667,364.9,67.31,—,—,—,—,6739.901,6229.811,145.19,6375.001,536.235,—,—,6082.074,14.513,6096.587,515.57,—,—,147.737,130.677,278.414,20.665,—,—,355.233,9.667,364.9,67.31,—,—,—,—,600.509,6229.811,145.19,6375.001,536.235,—,—,6082.074,14.513,6096.587,515.57,—,—,147.737,130.677,278.414,20.665,—,—,355.233,9.667,364.9,67.31,—,—,—,—,-3.036,—,—,—,—,—,355.233,9.667,364.9,67.31,—,—,—,—,—,—,—,—,—,355.233,9.667,364.9,67.31,—,—,—,—,—,—,—,6229.811,145.19,6375.001,536.235,—,—,147.737,130.677,278.414,20.665,—,—,6082.074,14.513,6096.587,515.57,—,—,-3.036,—,—,355.233,9.667,364.9,67.31,—,—,—,—,—,6229.811,145.19,6375.001,536.235,—,—,147.737,130.677,278.414,20.665,—,—,6082.074,14.513,6096.587,515.57,—,—,-3.036,—,—,355.233,9.667,364.9,67.31,—,—,—,—,—,—,
03/31/2014,6569.382,6210.83,205.521,6416.351,338.451,15872.673,324908,6039.402,12.146,6051.548,315.16,14275.376,297680,—,—,—,—,171.428,193.375,364.803,23.291,1597.297,27228,358.552,9.952,368.504,94.283,—,—,18943.587,9285,215.473,6210.83,205.521,6416.351,338.451,15872.673,324908,171.428,193.375,364.803,23.291,1597.297,27228,6039.402,12.146,6051.548,315.16,14275.376,297680,358.552,9.952,368.504,94.283,—,—,18943.587,9285,6784.855,6210.83,205.521,6416.351,338.451,15872.673,324908,6039.402,12.146,6051.548,315.16,14275.376,297680,171.428,193.375,364.803,23.291,1597.297,27228,358.552,9.952,368.504,94.283,—,—,18943.587,9285,436.128,6210.83,205.521,6416.351,338.451,15872.673,324908,6039.402,12.146,6051.548,315.16,14275.376,297680,171.428,193.375,364.803,23.291,1597.297,27228,358.552,9.952,368.504,94.283,—,—,18943.587,9285,3.394,6621.213,4682,—,—,—,358.552,9.952,368.504,94.283,—,—,18943.587,9285,—,—,—,—,—,358.552,9.952,368.504,94.283,—,—,18943.587,9285,—,—,41437.473,6210.83,205.521,6416.351,338.451,15872.673,324908,171.428,193.375,364.803,23.291,1597.297,27228,6039.402,12.146,6051.548,315.16,14275.376,297680,3.394,6621.213,4682,358.552,9.952,368.504,94.283,—,—,18943.587,9285,338875,6210.83,205.521,6416.351,338.451,15872.673,324908,171.428,193.375,364.803,23.291,1597.297,27228,6039.402,12.146,6051.548,315.16,14275.376,297680,3.394,6621.213,4682,358.552,9.952,368.504,94.283,—,—,18943.587,9285,—,—,
06/30/2014,6390.688,6023.59,149.393,6172.983,597.551,—,—,5900.07,14.597,5914.667,586.752,—,—,—,—,—,—,123.52,134.796,258.316,10.799,—,—,367.098,10.33,377.428,98.213,11,11,—,—,159.723,6023.59,149.393,6172.983,597.551,—,—,123.52,134.796,258.316,10.799,—,—,5900.07,14.597,5914.667,586.752,—,—,367.098,10.33,377.428,98.213,11,11,—,—,6550.411,6023.59,149.393,6172.983,597.551,—,—,5900.07,14.597,5914.667,586.752,—,—,123.52,134.796,258.316,10.799,—,—,367.098,10.33,377.428,98.213,11,11,—,—,692.728,6023.59,149.393,6172.983,597.551,—,—,5900.07,14.597,5914.667,586.752,—,—,123.52,134.796,258.316,10.799,—,—,367.098,10.33,377.428,98.213,11,11,—,—,-3.036,—,—,—,10.2,10.2,367.098,10.33,377.428,98.213,11,11,—,—,1.7,1.7,—,10.2,10.2,367.098,10.33,377.428,98.213,11,11,—,—,1.7,1.7,—,6023.59,149.393,6172.983,597.551,—,—,123.52,134.796,258.316,10.799,—,—,5900.07,14.597,5914.667,586.752,—,—,-3.036,—,—,367.098,10.33,377.428,98.213,11,11,—,—,—,6023.59,149.393,6172.983,597.551,—,—,123.52,134.796,258.316,10.799,—,—,5900.07,14.597,5914.667,586.752,—,—,-3.036,—,—,367.098,10.33,377.428,98.213,11,11,—,—,—,—,
09/30/2014,6554.909,6163.804,165.71,6329.514,571.129,—,—,6018.997,13.602,6032.599,553.52,—,—,—,—,—,—,144.807,152.108,296.915,17.609,—,—,391.105,8.841,399.946,86.302,—,—,—,—,174.551,6163.804,165.71,6329.514,571.129,—,—,144.807,152.108,296.915,17.609,—,—,6018.997,13.602,6032.599,553.52,—,—,391.105,8.841,399.946,86.302,—,—,—,—,6729.46,6163.804,165.71,6329.514,571.129,—,—,6018.997,13.602,6032.599,553.52,—,—,144.807,152.108,296.915,17.609,—,—,391.105,8.841,399.946,86.302,—,—,—,—,659.218,6163.804,165.71,6329.514,571.129,—,—,6018.997,13.602,6032.599,553.52,—,—,144.807,152.108,296.915,17.609,—,—,391.105,8.841,399.946,86.302,—,—,—,—,1.787,—,—,—,—,—,391.105,8.841,399.946,86.302,—,—,—,—,—,—,—,—,—,391.105,8.841,399.946,86.302,—,—,—,—,—,—,—,6163.804,165.71,6329.514,571.129,—,—,144.807,152.108,296.915,17.609,—,—,6018.997,13.602,6032.599,553.52,—,—,1.787,—,—,391.105,8.841,399.946,86.302,—,—,—,—,—,6163.804,165.71,6329.514,571.129,—,—,144.807,152.108,296.915,17.609,—,—,6018.997,13.602,6032.599,553.52,—,—,1.787,—,—,391.105,8.841,399.946,86.302,—,—,—,—,—,—,
12/31/2014,7170.017,6742.115,168.645,6910.76,666.143,—,—,6595.19,14.495,6609.685,651.323,—,—,—,—,—,—,146.925,154.15,301.075,14.82,—,—,427.902,9.837,437.739,100.528,—,—,—,—,178.482,6742.115,168.645,6910.76,666.143,—,—,146.925,154.15,301.075,14.82,—,—,6595.19,14.495,6609.685,651.323,—,—,427.902,9.837,437.739,100.528,—,—,—,—,7348.499,6742.115,168.645,6910.76,666.143,—,—,6595.19,14.495,6609.685,651.323,—,—,146.925,154.15,301.075,14.82,—,—,427.902,9.837,437.739,100.528,—,—,—,—,762.88,6742.115,168.645,6910.76,666.143,—,—,6595.19,14.495,6609.685,651.323,—,—,146.925,154.15,301.075,14.82,—,—,427.902,9.837,437.739,100.528,—,—,—,—,-3.791,—,—,—,—,—,427.902,9.837,437.739,100.528,—,—,—,—,—,—,—,—,—,427.902,9.837,437.739,100.528,—,—,—,—,—,—,—,6742.115,168.645,6910.76,666.143,—,—,146.925,154.15,301.075,14.82,—,—,6595.19,14.495,6609.685,651.323,—,—,-3.791,—,—,427.902,9.837,437.739,100.528,—,—,—,—,—,6742.115,168.645,6910.76,666.143,—,—,146.925,154.15,301.075,14.82,—,—,6595.19,14.495,6609.685,651.323,—,—,-3.791,—,—,427.902,9.837,437.739,100.528,—,—,—,—,—,—,
03/31/2015,7118.907,6683.327,221.336,6904.663,556.137,17786.455,329711,6491.967,13.211,6505.178,533.715,15897.022,304581,—,—,—,—,191.36,208.125,399.485,22.422,1889.433,25130,435.58,10.456,446.036,76.79,—,—,22378.941,9595,231.792,6683.327,221.336,6904.663,556.137,17786.455,329711,191.36,208.125,399.485,22.422,1889.433,25130,6491.967,13.211,6505.178,533.715,15897.022,304581,435.58,10.456,446.036,76.79,—,—,22378.941,9595,7350.699,6683.327,221.336,6904.663,556.137,17786.455,329711,6491.967,13.211,6505.178,533.715,15897.022,304581,191.36,208.125,399.485,22.422,1889.433,25130,435.58,10.456,446.036,76.79,—,—,22378.941,9595,635.738,6683.327,221.336,6904.663,556.137,17786.455,329711,6491.967,13.211,6505.178,533.715,15897.022,304581,191.36,208.125,399.485,22.422,1889.433,25130,435.58,10.456,446.036,76.79,—,—,22378.941,9595,2.811,7564.434,4803,—,—,—,435.58,10.456,446.036,76.79,—,—,22378.941,9595,—,—,—,—,—,435.58,10.456,446.036,76.79,—,—,22378.941,9595,—,—,47729.83,6683.327,221.336,6904.663,556.137,17786.455,329711,191.36,208.125,399.485,22.422,1889.433,25130,6491.967,13.211,6505.178,533.715,15897.022,304581,2.811,7564.434,4803,435.58,10.456,446.036,76.79,—,—,22378.941,9595,344109,6683.327,221.336,6904.663,556.137,17786.455,329711,191.36,208.125,399.485,22.422,1889.433,25130,6491.967,13.211,6505.178,533.715,15897.022,304581,2.811,7564.434,4803,435.58,10.456,446.036,76.79,—,—,22378.941,9595,—,—,
06/30/2015,6987.648,6527.733,140.606,6668.339,689.846,—,—,6398.388,13.002,6411.39,677.563,—,—,—,—,—,—,129.345,127.604,256.949,12.283,—,—,459.915,10.387,470.302,70.173,24.6,24.6,—,—,150.993,6527.733,140.606,6668.339,689.846,—,—,129.345,127.604,256.949,12.283,—,—,6398.388,13.002,6411.39,677.563,—,—,459.915,10.387,470.302,70.173,24.6,24.6,—,—,7138.641,6527.733,140.606,6668.339,689.846,—,—,6398.388,13.002,6411.39,677.563,—,—,129.345,127.604,256.949,12.283,—,—,459.915,10.387,470.302,70.173,24.6,24.6,—,—,756.001,6527.733,140.606,6668.339,689.846,—,—,6398.388,13.002,6411.39,677.563,—,—,129.345,127.604,256.949,12.283,—,—,459.915,10.387,470.302,70.173,24.6,24.6,—,—,-4.018,—,—,—,-0.5,-0.5,459.915,10.387,470.302,70.173,24.6,24.6,—,—,8.4,8.4,—,-0.5,-0.5,459.915,10.387,470.302,70.173,24.6,24.6,—,—,8.4,8.4,—,6527.733,140.606,6668.339,689.846,—,—,129.345,127.604,256.949,12.283,—,—,6398.388,13.002,6411.39,677.563,—,—,-4.018,—,—,459.915,10.387,470.302,70.173,24.6,24.6,—,—,—,6527.733,140.606,6668.339,689.846,—,—,129.345,127.604,256.949,12.283,—,—,6398.388,13.002,6411.39,677.563,—,—,-4.018,—,—,459.915,10.387,470.302,70.173,24.6,24.6,—,—,—,—,
09/30/2015,7103.84,6634.883,131.257,6766.14,728.743,—,—,6458.452,13.089,6471.541,713.791,—,—,—,—,—,—,176.431,118.168,294.599,14.952,—,—,468.957,10.722,479.679,95.67,—,—,—,—,141.979,6634.883,131.257,6766.14,728.743,—,—,176.431,118.168,294.599,14.952,—,—,6458.452,13.089,6471.541,713.791,—,—,468.957,10.722,479.679,95.67,—,—,—,—,7245.819,6634.883,131.257,6766.14,728.743,—,—,6458.452,13.089,6471.541,713.791,—,—,176.431,118.168,294.599,14.952,—,—,468.957,10.722,479.679,95.67,—,—,—,—,827.404,6634.883,131.257,6766.14,728.743,—,—,6458.452,13.089,6471.541,713.791,—,—,176.431,118.168,294.599,14.952,—,—,468.957,10.722,479.679,95.67,—,—,—,—,2.991,—,—,—,—,—,468.957,10.722,479.679,95.67,—,—,—,—,—,—,—,—,—,468.957,10.722,479.679,95.67,—,—,—,—,—,—,—,6634.883,131.257,6766.14,728.743,—,—,176.431,118.168,294.599,14.952,—,—,6458.452,13.089,6471.541,713.791,—,—,2.991,—,—,468.957,10.722,479.679,95.67,—,—,—,—,—,6634.883,131.257,6766.14,728.743,—,—,176.431,118.168,294.599,14.952,—,—,6458.452,13.089,6471.541,713.791,—,—,2.991,—,—,468.957,10.722,479.679,95.67,—,—,—,—,—,—,
12/31/2015,7339.882,6865.988,132.098,6998.086,625.55,—,—,6698.705,16.317,6715.022,607.66,—,—,—,—,—,—,167.283,115.781,283.064,17.89,—,—,473.894,10.079,483.973,99.227,—,—,—,—,142.177,6865.988,132.098,6998.086,625.55,—,—,167.283,115.781,283.064,17.89,—,—,6698.705,16.317,6715.022,607.66,—,—,473.894,10.079,483.973,99.227,—,—,—,—,7482.059,6865.988,132.098,6998.086,625.55,—,—,6698.705,16.317,6715.022,607.66,—,—,167.283,115.781,283.064,17.89,—,—,473.894,10.079,483.973,99.227,—,—,—,—,722.266,6865.988,132.098,6998.086,625.55,—,—,6698.705,16.317,6715.022,607.66,—,—,167.283,115.781,283.064,17.89,—,—,473.894,10.079,483.973,99.227,—,—,—,—,-2.511,—,—,—,—,—,473.894,10.079,483.973,99.227,—,—,—,—,—,—,—,—,—,473.894,10.079,483.973,99.227,—,—,—,—,—,—,—,6865.988,132.098,6998.086,625.55,—,—,167.283,115.781,283.064,17.89,—,—,6698.705,16.317,6715.022,607.66,—,—,-2.511,—,—,473.894,10.079,483.973,99.227,—,—,—,—,—,6865.988,132.098,6998.086,625.55,—,—,167.283,115.781,283.064,17.89,—,—,6698.705,16.317,6715.022,607.66,—,—,-2.511,—,—,473.894,10.079,483.973,99.227,—,—,—,—,—,—,
03/31/2016,6971.748,6520.507,201.731,6722.238,471.366,17538.905,334019,6368.268,11.195,6379.463,449.984,15621.757,310944,—,—,—,—,152.239,190.536,342.775,21.382,1917.148,23075,451.241,11.029,462.27,74.156,—,—,21709.01,9777,212.76,6520.507,201.731,6722.238,471.366,17538.905,334019,152.239,190.536,342.775,21.382,1917.148,23075,6368.268,11.195,6379.463,449.984,15621.757,310944,451.241,11.029,462.27,74.156,—,—,21709.01,9777,7184.508,6520.507,201.731,6722.238,471.366,17538.905,334019,6368.268,11.195,6379.463,449.984,15621.757,310944,152.239,190.536,342.775,21.382,1917.148,23075,451.241,11.029,462.27,74.156,—,—,21709.01,9777,548.3,6520.507,201.731,6722.238,471.366,17538.905,334019,6368.268,11.195,6379.463,449.984,15621.757,310944,152.239,190.536,342.775,21.382,1917.148,23075,451.241,11.029,462.27,74.156,—,—,21709.01,9777,2.778,8179.682,5081,—,—,—,451.241,11.029,462.27,74.156,—,—,21709.01,9777,—,—,—,—,—,451.241,11.029,462.27,74.156,—,—,21709.01,9777,—,—,47427.597,6520.507,201.731,6722.238,471.366,17538.905,334019,152.239,190.536,342.775,21.382,1917.148,23075,6368.268,11.195,6379.463,449.984,15621.757,310944,2.778,8179.682,5081,451.241,11.029,462.27,74.156,—,—,21709.01,9777,348877,6520.507,201.731,6722.238,471.366,17538.905,334019,152.239,190.536,342.775,21.382,1917.148,23075,6368.268,11.195,6379.463,449.984,15621.757,310944,2.778,8179.682,5081,451.241,11.029,462.27,74.156,—,—,21709.01,9777,—,—,
06/30/2016,6589.113,6159.004,119.076,6278.08,553.769,—,—,6017.861,11.176,6029.037,543.441,—,—,—,—,—,—,141.143,107.9,249.043,10.328,—,—,430.109,8.802,438.911,90.241,-6.7,-6.7,—,—,127.878,6159.004,119.076,6278.08,553.769,—,—,141.143,107.9,249.043,10.328,—,—,6017.861,11.176,6029.037,543.441,—,—,430.109,8.802,438.911,90.241,-6.7,-6.7,—,—,6716.991,6159.004,119.076,6278.08,553.769,—,—,6017.861,11.176,6029.037,543.441,—,—,141.143,107.9,249.043,10.328,—,—,430.109,8.802,438.911,90.241,-6.7,-6.7,—,—,642.23,6159.004,119.076,6278.08,553.769,—,—,6017.861,11.176,6029.037,543.441,—,—,141.143,107.9,249.043,10.328,—,—,430.109,8.802,438.911,90.241,-6.7,-6.7,—,—,-1.78,—,—,—,-3.1,-3.1,430.109,8.802,438.911,90.241,-6.7,-6.7,—,—,-6,-6,—,-3.1,-3.1,430.109,8.802,438.911,90.241,-6.7,-6.7,—,—,-6,-6,—,6159.004,119.076,6278.08,553.769,—,—,141.143,107.9,249.043,10.328,—,—,6017.861,11.176,6029.037,543.441,—,—,-1.78,—,—,430.109,8.802,438.911,90.241,-6.7,-6.7,—,—,—,6159.004,119.076,6278.08,553.769,—,—,141.143,107.9,249.043,10.328,—,—,6017.861,11.176,6029.037,543.441,—,—,-1.78,—,—,430.109,8.802,438.911,90.241,-6.7,-6.7,—,—,2529000,2529000,
09/30/2016,6481.42,6057.702,135.079,6192.781,410.82,—,—,5897.299,11.673,5908.972,393.919,—,—,—,—,—,—,160.403,123.406,283.809,16.901,—,—,423.718,8.335,432.053,61.955,—,—,—,—,143.414,6057.702,135.079,6192.781,410.82,—,—,160.403,123.406,283.809,16.901,—,—,5897.299,11.673,5908.972,393.919,—,—,423.718,8.335,432.053,61.955,—,—,—,—,6624.834,6057.702,135.079,6192.781,410.82,—,—,5897.299,11.673,5908.972,393.919,—,—,160.403,123.406,283.809,16.901,—,—,423.718,8.335,432.053,61.955,—,—,—,—,474.635,6057.702,135.079,6192.781,410.82,—,—,5897.299,11.673,5908.972,393.919,—,—,160.403,123.406,283.809,16.901,—,—,423.718,8.335,432.053,61.955,—,—,—,—,1.86,—,—,—,—,—,423.718,8.335,432.053,61.955,—,—,—,—,—,—,—,—,—,423.718,8.335,432.053,61.955,—,—,—,—,—,—,—,6057.702,135.079,6192.781,410.82,—,—,160.403,123.406,283.809,16.901,—,—,5897.299,11.673,5908.972,393.919,—,—,1.86,—,—,423.718,8.335,432.053,61.955,—,—,—,—,—,6057.702,135.079,6192.781,410.82,—,—,160.403,123.406,283.809,16.901,—,—,5897.299,11.673,5908.972,393.919,—,—,1.86,—,—,423.718,8.335,432.053,61.955,—,—,—,—,2538000,2538000,
12/31/2016,7084.187,6617,128.601,6745.601,399.287,—,—,6456.333,13.213,6469.546,382.76,—,—,—,—,—,—,160.667,115.388,276.055,16.527,—,—,467.187,8.814,476.001,42.698,—,—,—,—,137.415,6617,128.601,6745.601,399.287,—,—,160.667,115.388,276.055,16.527,—,—,6456.333,13.213,6469.546,382.76,—,—,467.187,8.814,476.001,42.698,—,—,—,—,7221.602,6617,128.601,6745.601,399.287,—,—,6456.333,13.213,6469.546,382.76,—,—,160.667,115.388,276.055,16.527,—,—,467.187,8.814,476.001,42.698,—,—,—,—,438.586,6617,128.601,6745.601,399.287,—,—,6456.333,13.213,6469.546,382.76,—,—,160.667,115.388,276.055,16.527,—,—,467.187,8.814,476.001,42.698,—,—,—,—,-3.399,—,—,—,—,—,467.187,8.814,476.001,42.698,—,—,—,—,—,—,—,—,—,467.187,8.814,476.001,42.698,—,—,—,—,—,—,—,6617,128.601,6745.601,399.287,—,—,160.667,115.388,276.055,16.527,—,—,6456.333,13.213,6469.546,382.76,—,—,-3.399,—,—,467.187,8.814,476.001,42.698,—,—,—,—,—,6617,128.601,6745.601,399.287,—,—,160.667,115.388,276.055,16.527,—,—,6456.333,13.213,6469.546,382.76,—,—,-3.399,—,—,467.187,8.814,476.001,42.698,—,—,—,—,2645000,2645000,
03/31/2017,7442.473,6979.79,206.647,7186.437,410.424,18326.994,348889,6660.736,13.556,6674.292,372.853,16156.496,316577,—,—,—,—,319.054,193.091,512.145,37.571,2170.498,32312,462.683,13.952,476.635,27.534,—,—,22507.613,10280,220.599,6979.79,206.647,7186.437,410.424,18326.994,348889,319.054,193.091,512.145,37.571,2170.498,32312,6660.736,13.556,6674.292,372.853,16156.496,316577,462.683,13.952,476.635,27.534,—,—,22507.613,10280,7663.072,6979.79,206.647,7186.437,410.424,18326.994,348889,6660.736,13.556,6674.292,372.853,16156.496,316577,319.054,193.091,512.145,37.571,2170.498,32312,462.683,13.952,476.635,27.534,—,—,22507.613,10280,438.921,6979.79,206.647,7186.437,410.424,18326.994,348889,6660.736,13.556,6674.292,372.853,16156.496,316577,319.054,193.091,512.145,37.571,2170.498,32312,462.683,13.952,476.635,27.534,—,—,22507.613,10280,0.963,7915.579,5276,—,—,—,462.683,13.952,476.635,27.534,—,—,22507.613,10280,—,—,—,—,—,462.683,13.952,476.635,27.534,—,—,22507.613,10280,—,—,48750.186,6979.79,206.647,7186.437,410.424,18326.994,348889,319.054,193.091,512.145,37.571,2170.498,32312,6660.736,13.556,6674.292,372.853,16156.496,316577,0.963,7915.579,5276,462.683,13.952,476.635,27.534,—,—,22507.613,10280,364445,6979.79,206.647,7186.437,410.424,18326.994,348889,319.054,193.091,512.145,37.571,2170.498,32312,6660.736,13.556,6674.292,372.853,16156.496,316577,0.963,7915.579,5276,462.683,13.952,476.635,27.534,—,—,22507.613,10280,2539000,2539000,
06/30/2017,7047.606,6578.122,128.529,6706.651,503.023,—,—,6356.753,11.912,6368.665,489.378,—,—,—,—,—,—,221.369,116.617,337.986,13.645,—,—,469.484,34.284,503.768,75.3,14.8,14.8,—,—,162.813,6578.122,128.529,6706.651,503.023,—,—,221.369,116.617,337.986,13.645,—,—,6356.753,11.912,6368.665,489.378,—,—,469.484,34.284,503.768,75.3,14.8,14.8,—,—,7210.419,6578.122,128.529,6706.651,503.023,—,—,6356.753,11.912,6368.665,489.378,—,—,221.369,116.617,337.986,13.645,—,—,469.484,34.284,503.768,75.3,14.8,14.8,—,—,574.294,6578.122,128.529,6706.651,503.023,—,—,6356.753,11.912,6368.665,489.378,—,—,221.369,116.617,337.986,13.645,—,—,469.484,34.284,503.768,75.3,14.8,14.8,—,—,-4.029,—,—,—,35.7,35.7,469.484,34.284,503.768,75.3,14.8,14.8,—,—,5.6,5.6,—,35.7,35.7,469.484,34.284,503.768,75.3,14.8,14.8,—,—,5.6,5.6,—,6578.122,128.529,6706.651,503.023,—,—,221.369,116.617,337.986,13.645,—,—,6356.753,11.912,6368.665,489.378,—,—,-4.029,—,—,469.484,34.284,503.768,75.3,14.8,14.8,—,—,—,6578.122,128.529,6706.651,503.023,—,—,221.369,116.617,337.986,13.645,—,—,6356.753,11.912,6368.665,489.378,—,—,-4.029,—,—,469.484,34.284,503.768,75.3,14.8,14.8,—,—,2590000,2590000,
09/30/2017,7143.601,6655.852,143.236,6799.088,445.994,—,—,6356.581,11.64,6368.221,423.154,—,—,—,—,—,—,299.271,131.596,430.867,22.84,—,—,487.749,6.055,493.804,69.421,—,—,—,—,149.291,6655.852,143.236,6799.088,445.994,—,—,299.271,131.596,430.867,22.84,—,—,6356.581,11.64,6368.221,423.154,—,—,487.749,6.055,493.804,69.421,—,—,—,—,7292.892,6655.852,143.236,6799.088,445.994,—,—,6356.581,11.64,6368.221,423.154,—,—,299.271,131.596,430.867,22.84,—,—,487.749,6.055,493.804,69.421,—,—,—,—,522.247,6655.852,143.236,6799.088,445.994,—,—,6356.581,11.64,6368.221,423.154,—,—,299.271,131.596,430.867,22.84,—,—,487.749,6.055,493.804,69.421,—,—,—,—,6.832,—,—,—,—,—,487.749,6.055,493.804,69.421,—,—,—,—,—,—,—,—,—,487.749,6.055,493.804,69.421,—,—,—,—,—,—,—,6655.852,143.236,6799.088,445.994,—,—,299.271,131.596,430.867,22.84,—,—,6356.581,11.64,6368.221,423.154,—,—,6.832,—,—,487.749,6.055,493.804,69.421,—,—,—,—,—,6655.852,143.236,6799.088,445.994,—,—,299.271,131.596,430.867,22.84,—,—,6356.581,11.64,6368.221,423.154,—,—,6.832,—,—,487.749,6.055,493.804,69.421,—,—,—,—,2626000,2626000,
12/31/2017,7605.767,7101.556,142.383,7243.939,593.786,—,—,6852.678,10.2,6862.878,569.045,—,—,—,—,—,—,248.878,132.183,381.061,24.741,—,—,504.211,8.326,512.537,82.635,—,—,—,—,150.709,7101.556,142.383,7243.939,593.786,—,—,248.878,132.183,381.061,24.741,—,—,6852.678,10.2,6862.878,569.045,—,—,504.211,8.326,512.537,82.635,—,—,—,—,7756.476,7101.556,142.383,7243.939,593.786,—,—,6852.678,10.2,6862.878,569.045,—,—,248.878,132.183,381.061,24.741,—,—,504.211,8.326,512.537,82.635,—,—,—,—,673.645,7101.556,142.383,7243.939,593.786,—,—,6852.678,10.2,6862.878,569.045,—,—,248.878,132.183,381.061,24.741,—,—,504.211,8.326,512.537,82.635,—,—,—,—,-2.776,—,—,—,—,—,504.211,8.326,512.537,82.635,—,—,—,—,—,—,—,—,—,504.211,8.326,512.537,82.635,—,—,—,—,—,—,—,7101.556,142.383,7243.939,593.786,—,—,248.878,132.183,381.061,24.741,—,—,6852.678,10.2,6862.878,569.045,—,—,-2.776,—,—,504.211,8.326,512.537,82.635,—,—,—,—,—,7101.556,142.383,7243.939,593.786,—,—,248.878,132.183,381.061,24.741,—,—,6852.678,10.2,6862.878,569.045,—,—,-2.776,—,—,504.211,8.326,512.537,82.635,—,—,—,—,2631000,2631000,
