Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Walmart Inc (WMT US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,,Q4 2024,,Q1 2025,,Q2 2025,
3 Months Ending,,10/31/2014,,01/31/2015,,04/30/2015,,07/31/2015,,10/31/2015,,01/31/2016,,04/30/2016,,07/31/2016,,10/31/2016,,01/31/2017,,04/30/2017,,07/31/2017,,10/31/2017,,01/31/2018,,04/30/2018,,07/31/2018,,10/31/2018,,01/31/2019,,04/30/2019,,07/31/2019,,10/31/2019,,01/31/2020,,04/30/2020,,07/31/2020,,10/31/2020,,01/31/2021,,04/30/2021,,07/31/2021,,10/31/2021,,01/31/2022,,04/30/2022,,07/31/2022,,10/31/2022,,01/31/2023,,04/30/2023,,07/31/2023,,10/31/2023,,01/31/2024,,04/30/2024,,07/31/2024,
Revenue,,119001,1.0,131565,1.0,114826,1.0,120229,1.0,117408,1.0,129667,1.0,115904,1.0,120854,1.0,118179,1.0,130936,1.0,117542,1.0,123355,1.0,123179,1.0,136267,1.0,122690,1.0,128028,1.0,124894,1.0,138793,1.0,123925,1.0,130377,1.0,127991,1.0,141671,1.0,134622,1.0,137742,1.0,134708,1.0,152079,1.0,138310,1.0,141048,1.0,140525,1.0,152871,1.0,141569,1.0,152859,1.0,152813,1.0,164048,1.0,152301,1.0,161632,1.0,160804,1.0,174753,1.0,161508,1.0,169335,1.0
  Wal-Mart Stores,,70025,0.593050238829229,79571,0.60903941829315,70245,0.616173400466658,73959,0.619785468867845,72712,0.623612754935762,81462,0.63303907245656,73295,0.637425425703999,76241,0.638507600184247,74550,0.636222434628252,83747,0.64544894026975,75436,0.647374834800817,78738,0.64566335107299,77724,0.636372568284535,86579,0.640614132445431,77748,0.639217298363891,82815,0.651783816966921,80583,0.65040315746144,90520,0.657165881387802,80344,0.653474204751564,85200,0.658484558073392,83189,0.655129507564124,92271,0.656228664087392,88743,0.663886228978395,93282,0.681766356779512,88353,0.660573299838507,99585,0.659568831340862,93167,0.67926275344673,98192,0.702018288279915,96609,0.693995273226203,105279,0.694796238244514,96904,0.69075045620438,105130,0.694472886293524,104775,0.691725699648113,113744,0.698917925809405,103901,0.688067865751901,110854,0.691627152483154,109419,0.686275001724798,117643,0.684313086775946,108670,0.679450787180032,115347,0.687542842156086
    Grocery,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,43860,0.360601825207597,45991,0.361965700973563,46183,0.372753174007442,48168,0.349694721328851,46153,0.375383289006011,48196,0.372492039447244,48117,0.378930706168639,48039,0.341651968593537,52835,0.395258543300018,51545,0.376724843594691,50683,0.37893265147437,53264,0.352776765903898,51391,0.374681938480158,54649,0.390710011367617,55560,0.39911786045242,57344,0.378445801022934,56764,0.40462477189781,61469,0.406054921027077,63231,0.417451755804818,65835,0.404533528323799,63407,0.419902784032211,66240,0.413276765660095,66289,0.415764022604256,68274,0.397140430680457,66431,0.415354699946229,68680,0.409377291123999
    General Merchandise,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,24174,0.198750308312094,27305,0.214900164490512,24838,0.200472973518326,32422,0.235380382306179,24406,0.198505071208387,27246,0.210575942127554,24964,0.196596341184902,32998,0.234680814747383,25476,0.190585911784068,31682,0.231552943927966,26927,0.201320354088163,35331,0.234003377818989,30607,0.223149775078558,31707,0.226687447719685,28544,0.205047159984771,35018,0.231103778254413,27379,0.195162807937956,30073,0.198657691520072,27605,0.182248512897028,33540,0.206091813472776,25765,0.170624619215385,29076,0.181407536810581,26579,0.166703253281819,32565,0.189426108403039,25711,0.16075604296665,28980,0.17273957333683
    Health & Wellness,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,9128,0.0750472745210885,8837,0.0695503663652319,8869,0.0715836541643462,8954,0.0650051182274235,8970,0.0729570797647805,8949,0.0691640646736946,9225,0.0726486639733503,10394,0.0739218252162039,9665,0.0723038482255072,9154,0.0669034672279717,9806,0.0733147915545188,9962,0.0659800642447925,9970,0.0726893605231884,10480,0.0749261819819691,11030,0.0792345212525232,11359,0.0749645273057251,10894,0.0776545392335766,11331,0.0748508729629214,11947,0.0788742250889621,12419,0.0763105018341803,12848,0.0850838388387063,13374,0.0834414774145246,14173,0.0888929308387534,14503,0.0843619484160685,14249,0.0890907726744113,15030,0.0895885364821449
    Other Categories,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,586,0.00481789032311107,682,0.00536758513761323,693,0.00559335577132618,976,0.00708565952534793,815,0.0066287647723853,809,0.00625251182489875,883,0.00695379623723234,840,0.00597405553026855,767,0.00573792566880124,901,0.00658510202888382,937,0.00700550272145463,1028,0.00680862337318277,1199,0.00874167936482476,1356,0.00969464721064409,1475,0.0105957315364888,1558,0.010282131661442,1867,0.0133083371350365,2257,0.0149094007834537,1992,0.0131512058573041,1950,0.0119820821786498,1881,0.0124566236655983,2164,0.0135013725979536,2378,0.0149147949999686,2301,0.0133845992763824,2279,0.0142492715927422,2657,0.015837441213111
  Walmart International,,33659,0.285062163352417,36205,0.277114427860697,30278,0.26559183172225,30637,0.256741808430403,29811,0.255673339165337,32682,0.253970967641665,28083,0.244229732315238,28621,0.239696830115992,28390,0.242285109578753,31025,0.239113680154143,27097,0.232540377254862,28331,0.232318428195393,29548,0.24192703216087,33092,0.244853866074732,30260,0.248787305763381,29454,0.231813566925601,28793,0.232394650395086,32317,0.23461809311544,28775,0.234040130460597,29139,0.225206356076298,29167,0.229695781258613,33049,0.235043525261721,29766,0.222679394338381,27167,0.198554347190551,29554,0.220961181888869,34873,0.230969963903699,27300,0.199039071442632,23035,0.164687462018574,23627,0.16972566034754,26997,0.178168619039762,23763,0.169387260492701,24350,0.160852418731545,25295,0.166997867550456,27575,0.169438931321163,26604,0.176180763423485,27596,0.172173696031944,28022,0.175753736538739,32419,0.188576846562816,29833,0.1865285298053,29567,0.176238473597311
  Sam’s Club,,14392,0.121887597818354,14874,0.113846153846154,13479,0.118234767811091,14734,0.123472722701751,14075,0.1207139058989,14540,0.112989959901775,13608,0.118344841980763,14543,0.121795569699761,14236,0.121492455792995,14978,0.115437379576108,13993,0.120084787944321,14880,0.122018220731617,14864,0.121700399554595,15479,0.114532001479837,13622,0.111995395872729,14790,0.116402616107478,14521,0.117202192143474,14906,0.108216025496758,13830,0.112485664787839,15049,0.116309085850311,14625,0.115174711177263,15288,0.108727810650888,15163,0.113434376683225,16375,0.119679296029936,15845,0.118465518272624,16527,0.109461204755439,16692,0.121698175110638,18644,0.133294249701511,18971,0.136279066426257,19249,0.127035142715723,19621,0.13986228330292,21901,0.144674694974931,21399,0.141276432801431,21424,0.131643142869432,20499,0.135751370824614,21830,0.136199151484901,21998,0.137971261736463,21852,0.127110066661238,21435,0.134020683014668,22853,0.136218684246604
    Grocery and Consumables,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8012,0.0658719066019896,8585,0.0675670357865244,8570,0.0691703592500222,8541,0.062006780743849,8373,0.0681014079008369,8931,0.0690249482177636,8900,0.0700892259471889,9177,0.0652665566681839,10427,0.0780043689029864,10715,0.0783122843945507,10450,0.0781296728273222,10622,0.0703513594065636,10669,0.0777856356491371,12014,0.0858934303751314,12335,0.0886090498322642,11804,0.0779013364131331,12301,0.0876839073905109,13392,0.0884655273779404,13846,0.0914114439258198,13488,0.0828791407310914,13498,0.0893883605732299,14325,0.0893748440229598,14512,0.0910191358450567,14114,0.0820991891294484,14296,0.0893846365466618,15010,0.0894693235260808
"    Fuel, Tobacco and Other Categories",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2919,0.023999013401299,3261,0.0256652421316081,3168,0.0255696263832054,2762,0.0200518356649703,2777,0.0225866009483607,2863,0.0221272451850249,2646,0.0208377631299171,3169,0.022537835685025,2100,0.0157100963552576,2068,0.0151143074314448,1942,0.0145194090555655,1567,0.0103785144219624,2299,0.0167615686903521,2816,0.0201328366852314,2932,0.0210621592304985,3001,0.0198053126546774,3623,0.0258254447992701,4476,0.0295677793118027,3680,0.0242954003789554,2857,0.0175552865561038,3188,0.0211120235225557,3338,0.0208260544047916,3523,0.0220962248885154,2805,0.0163162976837256,3151,0.019701384286411,3299,0.0196641771027675
    Home and Apparel,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1202,0.00988243032146674,789,0.00620971359762,1209,0.00975810552313615,1643,0.011928010860806,1178,0.009581208468552,1763,0.0136256839892417,1532,0.0120647970956285,753,0.00535531406463359,1074,0.00803459213597462,1953,0.0142738116119979,1693,0.0126577546503978,2414,0.0159883432129019,2082,0.0151794632506799,2194,0.0156858819912634,1976,0.0141946884854928,2488,0.0164197327173734,2050,0.0146127965328467,2406,0.0158936722574167,2132,0.01407548739346,2991,0.0183786706647905,2079,0.0137678472093454,2428,0.0151484901422511,2084,0.0130708295962719,2672,0.0155426550484545,2084,0.0130300491440433,2466,0.0146989574826992
    Health & Wellnes,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,801,0.00658554632903067,757,0.0059578620955619,813,0.00656190222523548,778,0.0056481999085253,827,0.00672636621688668,842,0.00650755866077225,858,0.00675691638906608,844,0.00600250341374602,901,0.00674037943623197,931,0.00680436180786996,1017,0.00760362461869729,943,0.00624565354174256,941,0.00686065077756472,956,0.006834869272401,1037,0.00744933803616197,1022,0.00674476159049662,1010,0.0071994753649635,1006,0.0066454839114552,1085,0.00716318190520833,1147,0.00704792218405707,1156,0.00765542634632195,1186,0.00739955078612428,1313,0.00823512440494484,1350,0.00785276359109787,1328,0.00830321749678,1470,0.00876215227070878
"    Technology, Office & Entertainment",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,688,0.0056564992189427,1398,0.0110027624961632,761,0.00614219876187478,1182,0.00858119831860784,675,0.00549008125320255,650,0.00502364979750827,689,0.00542600861546216,1345,0.00956560081929904,661,0.00494493985277395,708,0.00517453078407297,743,0.00555505712064119,981,0.00649733417226877,701,0.00511085674290422,664,0.00474723137748354,691,0.00496383084183985,934,0.0061639993400429,637,0.00454065921532847,621,0.00410223211631579,656,0.00433091919798771,941,0.00578212273338946,578,0.00382771317316098,553,0.00345021212877464,566,0.00354994700167462,911,0.00529916120851123,576,0.00360139554077205,608,0.00362407386434758
  Corporate & Support,,925,,915,,824,,899,,810,,983,,918,,1449,,1003,,1186,,1016,,1406,,1043,,1117,,1060,,969,,997,,1050,,976,,989,,1010,,1063,,950,,918,,956,,1094,,1151,,1177,,1318,,1346,,1281,,1478,,1344,,1305,,1297,,1352,,1365,,2839,,1570,,1568,
Net Sales on a Constant Currency Basis,,—,,38804,1.0,33534,1.0,34810,1.0,30912,1.0,37413,1.0,31581,1.0,31309,1.0,30527,1.0,33661,1.0,28296,1.0,—,,29094,1.0,33661,1.0,28313,1.0,29212,1.0,30009,1.0,33997,1.0,30613,1.0,30440,1.0,30177,1.0,33037,1.0,31020,1.0,29612,1.0,30621,1.0,35129,1.0,26387,1.0,20638,1.0,22280,1.0,27200,1.0,24478,1.0,25306,1.0,26768,1.0,28476,1.0,27185,1.0,27022,1.0,26665,1.0,30805,1.0,29448,1.0,29884,1.0
  Walmart International,,—,,38804,1.0,33534,1.0,34810,1.0,30912,1.0,37413,1.0,31581,1.0,31309,1.0,30527,1.0,33661,1.0,28296,1.0,—,,29094,1.0,33661,1.0,28313,1.0,29212,1.0,30009,1.0,33997,1.0,30613,1.0,30440,1.0,30177,1.0,33037,1.0,31020,1.0,29612,1.0,30621,1.0,35129,1.0,26387,1.0,20638,1.0,22280,1.0,27200,1.0,24478,1.0,25306,1.0,26768,1.0,28476,1.0,27185,1.0,27022,1.0,26665,1.0,30805,1.0,29448,1.0,29884,1.0
Percentage of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Sam’s Club,,12.2,,—,,11.8,,12.3,,12.1,,—,,11.8,,12.2,,12.1,,—,,—,,—,,—,,—,,—,,—,,—,,11,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Walmart International,,28.5,,—,,26.6,,25.7,,25.6,,—,,24.4,,24,,24.2,,—,,—,,—,,—,,—,,—,,—,,—,,24,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Wal-Mart Stores,,59.3,,—,,61.6,,62,,62.3,,—,,63.8,,63.8,,63.7,,—,,—,,—,,—,,—,,—,,—,,—,,65,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Net Sales % Increased at Constant Currency,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Walmart International,,2.9,,3,,3.4,,2.8,,2.8,,3.3,,4.3,,2.2,,2.4,,3,,0.8,,2.5,,2.5,,2.8,,4.5,,3.1,,1.6,,3.1,,2.6,,3.3,,4.8,,—,,7.8,,1.6,,4.8,,7.6,,-11.4,,-24,,-24,,-22.1,,-11.6,,9.9,,13.3,,5.5,,12.8,,11,,5.4,,13,,10.7,,8.3,
Operating Income,,6265,1.0,7949,1.0,5680,1.0,6069,1.0,5714,1.0,6642,1.0,5275,1.0,6165,1.0,5119,1.0,6205,1.0,5237,1.0,5969,1.0,4764,1.0,4467,1.0,5154,1.0,5750,1.0,4986,1.0,6067,1.0,4945,1.0,5583,1.0,4718,1.0,5322,1.0,5224,1.0,6059,1.0,5778,1.0,5487,1.0,6909,1.0,7354,1.0,5792,1.0,5887,1.0,5318,1.0,6854,1.0,2695,1.0,5561,1.0,6240,1.0,7316,1.0,6202,1.0,7254,1.0,6841,1.0,7940,1.0
  Wal-Mart Stores,,4932,0.719474835886214,6177,0.706993247109992,4639,0.75602998696219,4819,0.7386572654813,4506,0.70593764687451,5123,0.710540915395284,4232,0.728524703046996,4519,0.672670437630247,3999,0.695599234649504,4995,0.724122934183821,4052,0.724865831842576,4618,0.698215905654672,3825,0.69773805180591,4701,0.826041117554033,3927,0.711799891245242,4479,0.728292682926829,3937,0.716469517743403,5043,0.760977818017202,4142,0.776964922153442,4659,0.772380636604775,4176,0.812925832197781,4403,0.747284453496266,4302,0.767940021420921,5057,0.782696177062374,4589,0.752541816989177,5168,0.792516485201656,5455,0.755121816168328,6089,0.800131406044678,4860,0.783113116339027,5183,0.789609993906155,4462,0.783631893220934,5683,0.794491821613309,5093,0.781614487415592,5382,0.870029097963143,4984,0.754465637299425,6114,0.781341853035144,4981,0.744432820206247,6075,0.746956842493545,5332,0.71283422459893,6591,0.772503516174402
  Walmart International,,1430,0.208606856309263,2050,0.234634313837702,1070,0.174380704041721,1277,0.195738810545677,1338,0.209619301268996,1661,0.230374479889043,1164,0.200378722671716,1727,0.257070556713308,1354,0.235519220734041,1513,0.219338938822847,1139,0.203756708407871,1592,0.240701542183248,1224,0.223276176577891,1298,0.228079423651379,1265,0.229291281493565,1269,0.206341463414634,1179,0.214558689717925,1170,0.176550475328203,738,0.138435565559932,893,0.148043766578249,634,0.1234183375511,1105,0.187542430414121,806,0.143877186719029,812,0.125677139761647,1078,0.176779271892424,964,0.147830087409906,1194,0.165282392026578,861,0.113140604467806,871,0.140348050273928,832,0.126751980499695,772,0.135581313663505,1043,0.145812945617224,861,0.132136279926335,289,0.0467183963789201,1164,0.176203451407811,1190,0.152076677316294,1117,0.16694066656703,1438,0.176810525021517,1533,0.204946524064171,1360,0.159399906235349
  Sam’s Club,,493,0.0719183078045222,510,0.0583724390523063,427,0.0695893089960887,428,0.0656039239730227,539,0.0844430518564938,426,0.0590846047156727,413,0.0710965742812877,472,0.0702590056564454,396,0.068881544616455,390,0.0565381269933314,399,0.0713774597495528,404,0.0610825521620804,433,0.0789857716161985,-308,-0.0541205412054121,325,0.0589088272611927,402,0.0653658536585366,379,0.0689717925386715,414,0.0624717066545948,451,0.0845995122866254,480,0.0795755968169761,327,0.0636558302511193,384,0.065173116089613,494,0.08818279186005,592,0.0916266831759789,431,0.0706789111183995,389,0.0596534273884374,575,0.0795957918050941,660,0.0867279894875164,475,0.0765388333870448,549,0.0836380255941499,460,0.0807867931155602,427,0.0596952327694674,562,0.0862492326580724,515,0.0832525056579373,458,0.0693309112927642,521,0.0665814696485623,593,0.0886265132267225,620,0.0762326324849379,615,0.0822192513368984,581,0.0680965775902485
  Corporate & Support,,-590,,-788,,-456,,-455,,-669,,-568,,-534,,-553,,-630,,-693,,-353,,-645,,-718,,-1224,,-363,,-400,,-509,,-560,,-386,,-449,,-419,,-570,,-378,,-402,,-320,,-1034,,-315,,-256,,-414,,-677,,-376,,-299,,-3821,,-625,,-366,,-509,,-489,,-879,,-639,,-592,
Operating Margin,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Wal-Mart Stores,,7,,—,,6.6,,6.5,,6.2,,—,,5.8,,5.9,,5.4,,—,,4.3,,5.9,,4.9,,—,,5.1,,5.4,,4.9,,—,,5.2,,5.5,,5,,—,,4.8,,5.4,,5.2,,—,,5.9,,6.2,,5,,—,,4.6,,5.4,,4.9,,—,,4.8,,5.5,,4.6,,—,,4.9,,5.7,
  Walmart International,,4.2,,—,,3.5,,4.2,,4.5,,—,,4.1,,6,,4.8,,—,,4.3,,5.6,,4.1,,—,,4.2,,4.3,,4.1,,—,,2.6,,3.1,,2.2,,—,,2.7,,3,,3.6,,—,,4.4,,3.7,,3.7,,—,,3.2,,4.3,,3.4,,—,,4.4,,4.3,,4,,—,,5.1,,4.6,
  Sam’s Club,,3.4,,—,,3.2,,2.9,,3.8,,—,,3,,3.2,,2.8,,—,,3,,2.7,,2.9,,—,,2.4,,2.7,,2.6,,—,,3.3,,3.2,,2.2,,—,,3.3,,3.6,,2.7,,—,,3.4,,3.5,,2.5,,—,,2.3,,1.2,,2.6,,—,,2.2,,2.4,,2.7,,—,,2.9,,2.5,
  Corporate & Support,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,0,,—,
Operating Income Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate & Support,,-18,,0,,1.5,,8.1,,-13.4,,27.9,,-17.1,,-21.5,,5.8,,22,,14,,16.6,,52.7,,123.7,,2.8,,-1.7,,29.1,,-54.2,,6.3,,12.3,,-17.7,,—,,-2.1,,-10.5,,-23.6,,81.4,,-16.7,,-36.3,,29.4,,-34.5,,19.4,,16.8,,822.9,,-7.7,,-2.7,,70.2,,-87.2,,40.6,,74.6,,16.3,
  Walmart International,,3.7,,66.4,,-11,,-14.2,,-6.4,,-19,,8.8,,35.2,,1.2,,-8.9,,-0.1,,-7.8,,-7.8,,-10.9,,11.1,,-19.1,,-3.7,,-9.9,,-41.7,,-29.6,,-46.2,,—,,9.2,,-9.1,,70,,-12.8,,48.1,,6,,-19.2,,-13.7,,-35.3,,21.1,,-1.1,,-65.3,,50.8,,14.1,,29.7,,397.6,,31.7,,14.3,
  Sam’s Club,,12,,29.1,,-10.9,,-13.4,,9.3,,-16.5,,-3.3,,10.3,,-26.5,,-8.5,,0.2,,-14.4,,12.9,,-172.6,,-18.5,,2.8,,-12.5,,0,,38.8,,19.4,,-13.7,,—,,9.5,,23.3,,31.8,,1.3,,16.4,,11.5,,10.2,,41.1,,-20,,-35.3,,18.3,,-6.2,,-0.4,,22,,5.5,,20.4,,34.3,,11.5,
  Wal-Mart Stores,,-1.2,,-0.6,,-6.8,,-8.2,,-8.6,,-17.1,,-8.8,,-6.2,,-11.3,,-2.5,,0.9,,2.2,,0.8,,-0.9,,-3.1,,1.4,,2.9,,7.3,,5.5,,4,,6.1,,—,,3.9,,8.5,,9.9,,17.4,,26.8,,20.4,,5.9,,0.3,,-18.2,,-6.7,,4.8,,3.8,,11.7,,7.6,,-2.2,,12.9,,7,,7.8,
Revenue Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Walmart International,,1.7,,-3.9,,-6.6,,-9.6,,-11.4,,-9.7,,-7.2,,-6.6,,-4.8,,-5.1,,-3.5,,-1,,4.1,,6.7,,11.7,,4,,-2.6,,—,,-4.9,,-1.1,,1.3,,—,,3.4,,-6.8,,1.3,,5.5,,-8.3,,-15.2,,-20.1,,-22.6,,-13,,5.7,,7.1,,2.1,,12,,13.3,,10.8,,17.6,,12.1,,7.1,
  Sam’s Club,,2.3,,1.3,,-3,,-0.9,,-2.2,,-2.2,,1,,-1.3,,1.1,,3,,2.8,,2.3,,4.4,,3.3,,-2.7,,-0.6,,-2.3,,—,,1.5,,1.8,,0.7,,—,,9.6,,8.8,,8.3,,8.1,,10.1,,13.9,,19.7,,16.5,,17.4,,17.5,,12.8,,11.3,,4.5,,-0.3,,2.8,,2,,4.6,,4.7,
  Wal-Mart Stores,,3.4,,4.1,,3.5,,4.8,,3.8,,2.4,,4.3,,3.1,,2.5,,2.8,,2.9,,3.3,,4.3,,3.4,,3.1,,5.2,,3.7,,—,,3.3,,2.9,,3.2,,—,,10.5,,9.5,,6.2,,7.9,,5,,5.3,,9.3,,5.7,,4,,7.1,,8.5,,8,,7.2,,5.4,,4.4,,3.4,,4.6,,4.1,
  Corporate & Support,,—,,—,,0,,—,,0,,0,,0,,—,,0,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,0,,0,,0,,0,,—,,0,,0,,—,,0,,0,,0,,0,
Fuel Price Contributing to Operating Profit,,—,,—,,—,,-3.6,,-3.8,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Sam’s Club,,—,,—,,—,,-3.6,1.0,-3.8,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Wal-Mart Stores,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Restructuring Charges,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,839,1.0,—,,380,1.0,—,,0,,—,,—,,—,,0,,—,,—,,—,,849,1.0,—,,—,,—,,—,,—,,—,
  Walmart International,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,389,0.463647199046484,—,,—,,—,,0,,—,,—,,—,,0,,—,,—,,—,,849,1.0,—,,—,,—,,—,,—,,—,
  Wal-Mart Stores,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,450,0.536352800953516,—,,380,1.0,—,,0,,—,,—,,—,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Adjusted Operating Income,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5011,1.0,5868,1.0,5224,1.0,6516,1.0,5778,1.0,5662,1.0,6909,1.0,7354,1.0,5792,1.0,5995,1.0,5318,1.0,6854,1.0,2695,1.0,6410,1.0,6240,1.0,7316,1.0,6202,1.0,7254,1.0,6841,1.0,7940,1.0
  Wal-Mart Stores,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4176,0.818342151675485,4853,0.801618764453254,4302,0.767940021420921,5057,0.782696177062374,4589,0.752541816989177,5168,0.792516485201656,5455,0.755121816168328,6089,0.800131406044678,4860,0.783113116339027,5183,0.789609993906155,4462,0.783631893220934,5683,0.794491821613309,5093,0.781614487415592,5382,0.870029097963143,4984,0.754465637299425,6114,0.781341853035144,4981,0.744432820206247,6075,0.746956842493545,5332,0.71283422459893,6591,0.772503516174402
