Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,214.164,214.164,,427.381,,,,438.957,,,,,306.052,,,,306.052,1386.554,8421.9043,12697.8535,4275.9502,224.96,,,588.218,,,,,,,,,9415.4543,10802.0078,-347.405,1081.395,,,,,0,0,,,,,-243.986,,-1267.726,-367.519,317.235,796.491,796.491,,,,,,192.059,,,57.655,304.1997,,0.0527,68.7751,,5086.3452,,1927.233,,3159.1122,,2398.375,,,,,,760.737,,,334.474,,,,,463.668,,,,,,,,,,121.893,341.775,689.18,,,-347.405,0,-347.405,43.6,,-391.005,,1093.856,-0.3575,0.2725,0.2725,1093.856,-0.3575,0.2725,0.2725,US GAAP,1262.006,24.8116,760.737,62.1097,14.9565,-6.8301,328151.3042,,,,,,9.1159,6.7195,-7.6873,26.2889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,170.211,170.211,0,450.18,,,,374.63,,,,,148.92,,,,148.92,1143.941,9080.8496,13771.2529,4690.4028,234.052,,,604.876,,,,,,,,,10137.8444,11281.7852,281.834,1230.7271,,,,,0,0,,,,,-63.314,,-1242.861,-433.256,-143.94,318.341,318.341,,,,,,-43.953,,,51.1801,301.3303,-158.616,0.0392,117.9119,4.3669,5249.436,,1932.637,,3316.7991,,2439.751,,,,,,877.048,,,352.823,,,,,588.725,,,,,,,,,,171.321,417.404,135.57,,,281.834,0,281.834,41.256,,240.578,,1304.808,0.185,0.2887,0.2887,1304.808,0.185,0.2887,0.2887,US GAAP,1395.116,26.5765,877.048,63.1839,16.7075,5.3688,362030.0714,7.3853,2.5524,6.8186,6.5269,71.3167,11.215,7.9514,4.5829,29.1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,78.156,78.156,0,413.574,,,,382.08,,,,,221.903,35.992,,,185.911,1095.713,9866.2998,14972.3662,5106.0659,336.984,,,736.802,,,,,,,,,11210.5923,12306.3047,510.85,1085.366,,,,,0,0,,,,,-189.237,,-1431.788,-474.617,200.956,547.626,547.626,,,,,,-92.055,,,-157.1851,67.2228,54.87,-0.1113,117.5135,2.1246,5193.3271,,1829.908,,3363.4192,,2329.645,,,,,,1033.774,,,339.251,,,,,772.283,,,,,,,,,,261.433,510.85,0,,,510.85,0,510.85,43.901,,466.949,,1411.6639,0.3313,0.3313,0.3313,1411.6639,0.3313,0.3313,0.3313,US GAAP,1588.011,30.5779,1033.774,64.7642,19.9058,9.8367,357421.0013,12.9891,4.3314,8.7722,6.8028,,14.8707,9.8367,8.9913,33.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,324.002,152.014,171.988,444.815,,,,329.599,,,,,152.941,34.879,,,118.062,1251.3571,10289.4551,15880.7197,5591.2651,291.03,,,920.932,,,,,,,,,11826.6547,13078.0117,471.412,1278.865,,,,,0,0,,,,,116.827,,-1100.0601,-504.302,-89.6878,466.287,466.287,,,,,,73.858,,,61.978,281.5989,-72.0228,0.0415,117.9071,2.7128,5316.2939,,1758.298,,3557.996,,2584.0381,,,,,,973.958,,,336.323,,,,,721.911,,,,,,,,,,250.499,471.412,0,,,471.412,0,471.412,42.663,,428.749,,1494.2159,0.2875,0.2875,0.2875,1494.2159,0.2875,0.2875,0.2875,US GAAP,1572.347,29.576,973.958,66.9262,18.3202,8.8673,443541.961,10.8044,3.7142,7.6242,5.985,,13.5792,8.8673,8.0648,34.6994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,85.75,85.75,0,464.709,,,,309.308,,,,,89.88,37.289,,,52.591,949.647,10202.834,16389.5332,6186.6992,158.226,,,934.135,,,,,,,,,11667.9693,12617.6162,558.269,1411.0129,,,,,0,0,,,,,68.895,,-563.436,-374.309,-409.491,-110.048,16.685,-126.733,,,,,-66.264,,,655.6699,854.6284,325.1329,0.4604,9.5361,2.5275,5422.6592,,1715.345,,3707.3142,,2558.8721,,,,,,1148.442,,,308.469,,,,,865.551,,,,,,,,,,307.282,558.269,0,,,558.269,0,558.269,39.558,,518.711,,1424.072,0.3638,0.3638,0.3638,1424.072,0.3638,0.3638,0.3638,US GAAP,1872.298,34.5273,1148.442,68.3671,21.1786,10.2951,446861.0779,12.5023,4.3452,8.4007,6.8784,164.0423,15.9617,10.2951,9.5656,35.5013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,46.177,46.177,0,482.326,,,,247.323,,,,,209.522,33.982,,,175.54,985.348,9851.9814,16725.2305,6873.25,158,,,929.897,,,,,,,,,11473.878,12459.2256,596.713,1547.234,,,,,0,0,,,,,-100.28,,-695.317,-351.984,-453.31,-69.394,0,-69.394,,,,,-39.573,,,881.97,1069.417,353.815,0.6288,9.2193,2.5929,5592.4849,,1721.73,,3870.7549,,2673.6489,,,,,,1197.106,,,290.669,,,,,925.307,,,,,,,,,,328.594,596.713,0,,,596.713,0,596.713,43.402,,553.311,,1402.6801,0.395,0.395,0.395,1402.6801,0.395,0.395,0.395,US GAAP,2115.0419,37.8194,1197.106,69.2135,21.4056,10.6699,490568.8476,12.8831,4.7591,9.1032,7.3955,28.6552,16.5455,10.6699,9.8938,35.5119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,195.932,195.932,0,461.501,,,,268.186,,,,,247.912,48.465,,,199.447,1173.531,9383.8887,17033.623,7649.7339,296,,,698.903,,,,,,,,,11045.7919,12219.3232,603.182,1616.01,,,,,0,0,,,,,-107.26,,-526.033,-343.985,-516.164,-81.636,0,-81.636,,,,,149.755,381,,1128.416,1307.0843,549.341,0.8103,7.0961,2.6791,6036.7778,,2130.583,,3906.1948,,2735.374,,,,,,1170.821,,,265.713,,,,,897.044,,,,,,,,,,293.862,603.182,0,,,603.182,0,603.182,23.732,,579.45,,1392.576,0.4163,0.4163,0.4163,1392.576,0.4163,0.4163,0.4163,US GAAP,2131.196,35.3035,1170.821,64.7066,19.3948,9.9918,588953.9348,12.8987,4.8883,9.3513,7.736,,14.8596,9.9918,9.5987,32.7589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,54,54,0,501,,,,302,,,,,244,34.949,,,209.051,1101,9354,17820,8466,311,,,833,,,,,,,,,11348,12449,637,1616.193,,,,,0,0,,,,,-246,,-797.193,-351,-562,-48,0,-48,,,,,-142,434,,1065,1263.6404,374.42,0.7693,9.6176,2.5372,6369,,2255,,4114,,2886,,,,,,1228,,,293.439,,,,,941,,,,,,,,,,304,637,0,,,637,0,637,19,,618,,1384.448,0.4463,0.4463,0.4463,1384.448,0.4463,0.4463,0.4463,US GAAP,2289,35.9397,1228,64.5941,19.2809,10.0016,664267.8348,13.0972,5.1645,10.0834,8.3053,17.2111,14.7747,10.0016,9.7033,32.3061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,187,187,0,559,,,,282,,,,,238,,,,238,1266,8555,17952,9397,391,,,771,,,,,,,,,10763,12029,679,1758,,,,,0,0,,,,,-313,,-795,-360,-408,-62,0,-62,,,,,133,463,,1141,1369.2234,853,0.8244,9.3437,2.5891,6661,,2244,,4417,,3165,,,,,,1252,,,322,,,,,958,,,,,,,,,,279,679,0,,,679,0,679,15,,664,,1384,0.4813,0.4813,0.4813,1384,0.4813,0.4813,0.4813,US GAAP,2536,38.0724,1252,66.3114,18.796,10.1937,676587.1001,13.3186,5.5478,10.9833,9.0172,8.2192,14.3822,10.1937,9.9685,29.1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,361,361,0,482,,,,343,,,,,187,,,,187,1373,9264,19554,10290,611,,,841,,,,,,,,,12068,13441,712,1578,,,,,0,0,,,,,-1509,,-2172,-370,1254,-116,0,-116,,,,,174,573,,717,869.7188,2154,0.5241,10.2105,2.2163,6438,,2365,,4073,,2977,,,,,,1096,,,222,,,,,1035,-16,,,,,,,,,323,712,0,,,712,0,712,15,,697,,1368,0.5088,0.5088,0.4975,1368,0.5088,0.5088,0.4975,US GAAP,2136,33.178,1096,63.265,17.0239,11.0593,658080.3435,13.2813,5.5909,9.7675,6.0597,-69.9552,16.0764,11.0593,10.8263,31.2077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-29 00:00:00,129,129,0,637,246,,,370,,,,,645,,,,645,1781,9934,21022,11088,651,,,1437,,,,,,,,,13519,15300,719,991,,,,,0,0,,,,,-666,,-1943,-381,1251,-150,0,-150,,,,,-232,160,,-308,-118.5384,950,-0.2266,16.8734,1.3783,7062,,2848,,4214,,2907,,,,,,1307,,,278,,,,,1055,62,,,,,,,,,336,719,0,,,719,0,719,15,0,704,,1359.2,0.5175,0.5175,0.5475,1361.6,0.5175,0.5175,0.5475,US GAAP,2339,33.1209,1307,59.6715,18.5075,10.1813,717828.827,12.8432,5.0033,8.8389,7.2498,33.8141,14.9391,10.1813,9.9688,31.8483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8326,,3881,,4445,,3019,,,,,,1426,,,324,,,,,1175,30,,,,,,,,,379,796,,,,796,,796,15,,781,,1349.6,0.5788,0.5788,0.5788,1351.2,0.5775,0.5775,0.5775,US GAAP,,,1426,53.387,17.1271,9.5604,853336.0664,,,,,9.4146,14.1124,9.5604,9.3803,32.2553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31 00:00:00,266,266,,223,223,,,448,,,,,971,,,,971,1908,17700,26505,8805,697,,,959,,,,,,,,,21277,23185,,,,,,,,,,,,,,,-3267,,,,,,,,,,184,,,,,,,,,8173,,3576,,4597,,3165,,,,,,1432,,,311,,,,,954,207,,,,,,,,,244,710,222,,,488,,488,15,,473,,1383.2,0.3425,0.5025,0.5025,1386.4,0.3413,0.5013,0.5013,US GAAP,,,1432,56.2462,17.5211,5.9709,850291.3025,,,,,,11.6726,8.6871,5.7873,25.5765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31 00:00:00,129,129,0,816,816,,,458,,,,,1067,,,,1067,2470,20297,30272,9975,810,,,1110,,,,,,,,,24465,26935,903,2267,,,,,0,0,,,,,-22,,-3089,-438,1326,-155,73,-228,,,,,-137,-77,0,-619,-349.4757,473,-0.4359,,2.5105,9630,,4539,,5091,,3560,,,,,,1531,,,379,,,,,1274,-19,,,,,,,,,368,906,3,,,903,0,903,13,0,890,,1420,0.6263,0.6288,0.615,1425.6,0.625,0.6275,0.6138,US GAAP,2649,27.5078,1531,52.866,15.8982,9.3769,1003125,13.3263,3.6034,7.4,5.1693,6.7948,13.2295,9.4081,9.242,28.8854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
