Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,1379,1332,47,8045,,,,6386,,,,,2526,,,,,18336,62688,107599,44911,1207,,,5476,,,,,,,,5476,69371,87707,5010,10646,-5694,854,-6548,0,0,0,,,,,525,,-5169,-3397,-2337,-336,0,-336,60,,-6010,,-533,,,4098,4910.4231,2564,0.8209,15.7599,2.125,105519,,68286,,37233,,28627,,,,,,8606,,,1300,,,,,8452,,,,,,,,,,3170,5282,0,,,5282,272,5010,75,,4935,,4992,0.99,0.99,0.99,4992,0.99,0.99,0.99,US GAAP,14151,13.4109,8606,35.2856,8.1559,4.748,1014605.7692,15.6015,5.8622,12.3218,8.6856,3.4035,8.0099,5.0057,4.6769,37.5059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,1587,1496,91,6733,,,,6081,,,,,2611,,,,,17012,63864,112440,48576,1148,,,5536,,,,,,,,5536,70548,87560,5600,10942,-6272,1052,-7324,0,0,0,,,,,52,,-6220,-3645,-637,-353,113,-466,77,,-4558,,164,,,3618,4155.8549,4801,0.7271,20.931,1.9539,102847,,65158,,37689,,29618,,,,,,8071,,,810,,,,,8685,,,,,,,,,,2918,5767,0,,,5767,167,5600,69,,5531,,4976,1.1125,1.1125,1.1125,4976,1.1125,1.1125,1.1125,US GAAP,12895,12.538,8071,36.6457,7.8476,5.445,1018287.1287,16.4895,6.3903,12.5198,8.5247,-20.0225,8.4446,5.6074,5.3779,33.5982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,1515,898,617,6392,,,,5807,,,,,2710,,,,,16424,61799,110738,48939,1114,,,5693,,,,,,,,5693,68606,85030,4770,9611,-6243,982,-7225,0,0,0,,,,,-790,,-7033,-3832,739,-210,148,-358,127,,-3176,,-598,,,2386,2912.2394,3949,0.4803,31.8178,2.0149,103160,,66523,,36637,,29753,,,,,,6884,,,784,,,,,7534,,,,,,,,,,2477,5057,40,,,5017,247,4770,61,,4709,,4968,0.9475,0.955,0.955,4968,0.9475,0.955,0.955,US GAAP,11928,11.5626,6884,35.5147,6.6731,4.6239,1085894.7368,14.0429,5.5276,10.9647,7.4112,,7.3032,4.9021,4.5648,32.8776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,1652,983,669,5427,,,,5472,,,,,2308,,,,,14859,61962,111135,49173,1177,,,6147,,,,,,,,6147,69286,84145,5280,11503,-6956,0,-6956,0,0,0,,,,,855,,-6101,-3630,-709,-192,131,-323,-786,,-5317,,85,,,4547,5000.6172,3682,0.9155,17.2382,2.1786,97825,,63119,,34706,,27402,,,,,,7304,,,681,,,,,8302,,,,,,,,,,2772,5530,0,,,5530,250,5280,54,,5226,,4966.7998,1.0525,1.0525,1.0525,4966.7998,1.0525,1.0525,1.0525,US GAAP,12188,12.459,7304,35.4776,7.4664,5.3974,1075000,15.5698,6.2421,11.97,7.9725,,8.4866,5.653,5.3422,33.3895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,1775,1157,618,6292,,,,5541,,,,,2852,,,,,16460,63425,116326,52901,1323,,,6654,,,,,,,,6654,71402,87862,5100,9851,-5284,1359,-6643,0,0,0,,,,,-138,,-5422,-3659,-26,-154,66,-220,-416,,-4255,,174,,,3208,3720.9288,4381,0.6459,23.5132,1.9316,99683,,63573,,36110,,29076,,,,,,7034,,,773,,,,,8037,,,,,,,,,,2704,5333,0,,,5333,233,5100,46,,5054,,4966.6001,1.0175,1.0175,1.0175,4966.6001,1.0175,1.0175,1.0175,US GAAP,12049,12.0873,7034,36.2248,7.0564,5.1162,1159104.6512,14.2396,5.93,11.4543,7.501,,8.0626,5.35,5.0701,33.6444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,1789,1508,281,6979,,,,5681,,,,,2869,,,,,17318,65446,122337,56891,1345,,,7187,,,,,,,,7187,73978,91296,6470,13847,-6462,666,-7128,0,0,0,,,,,107,,-6355,-3765,-2705,-300,328,-628,-371,,-7141,,351,,,6719,7078.8847,4542,1.3525,14.8803,2.1402,107893,,67045,,40848,,31650,,,,,,9198,,,571,,,,,10743,,,,,,,,,,3972,6771,0,,,6771,301,6470,38,,6432,,4968,1.295,1.295,1.295,4968,1.295,1.295,1.295,US GAAP,14584,13.5171,9198,37.8597,8.5251,5.9967,1315768.2927,16.7406,7.2227,13.5952,9.0041,26.3581,9.9571,6.2757,5.9615,36.9729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,2969,2951,18,7993,,,,5285,,,,,3663,,,,,19910,66607,126366,59759,0,,,9010,,,,,,,,9010,75617,95527,7510,13162,-7209,0,-7209,0,0,0,,,,,694,,-6515,-3902,-254,-792,347,-1139,-256,,-5204,,1443,,,5953,6250.7899,5521,1.1983,20.4462,1.7526,116728,,74990,,41738,,31680,,,,,,10058,,,464,,,,,12300,,,,,,,,,,4406,7894,0,,,7894,384,7510,27,,7483,,4968,1.505,1.505,1.505,5024,1.49,1.49,1.49,US GAAP,15387,13.1819,10058,35.7566,8.6166,6.4338,1477569.6203,17.9834,8.0397,15.1935,9.6533,9.734,10.5373,6.7627,6.4106,35.8211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,4062,4047,15,7989,,,,5487,762,0,4725,0,3654,,,,,21192,66414,127778,61364,1643,,,6815,,,,,,,,6815,74872,96064,8460,14676,-7393,0,-7393,0,0,0,,,,,602,,-6791,-4038,8,-2246,340,-2586,-513,,-6789,,1096,3943,,7283,7561.6572,7161,1.4725,20.7767,1.7348,120279,,76490,,43789,,32270,,,,,,11519,,,415,,,,,13204,,,,,,,,,,4338,8866,0,,,8866,406,8460,17,,8443,,4946,1.705,1.705,1.645,5010,1.685,1.685,1.625,US GAAP,16993,14.128,11519,36.4062,9.5769,7.0336,1503487.5,19.4743,8.8313,16.4494,11.2005,41.1433,10.9778,7.3712,7.0195,32.8537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,2436,2386,50,15829,,,,8692,1155,957,7537,198,1637,,,,,28594,92583,182467,89884,3072,,,15086,,,,,,,,15086,110741,139335,8074,16436,-11208,1522,-12730,0,0,0,,,,,-774,,-11982,-5843,2218,-3040,507,-3547,-448,,-7113,,-2659,4629,,3706,4092.8086,8002,0.5343,68.4289,2.0357,144701,,88166,,56535,0,47634,12925,,,,,8901,,,568,,,-4015,,12348,732,,,,,,,,,3939,8409,70,,,8339,265,8074,,0,8074,,6936,1.155,1.165,1.27,7066,1.14,1.15,1.255,US GAAP,17256,11.9253,8901,39.0702,6.1513,5.5798,1831658.2278,15.4019,6.8598,12.5781,7.1735,,8.5335,5.8113,5.5798,31.8999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,1761,1688,73,19155,,,,8492,1122,5898,7370,-4776,1733,,,,,31141,94043,189212,95169,14544,,,4793,,,,,,,,4793,113380,144521,7910,15013,-9995,854,-10849,0,0,0,,,,,-990,,-10985,-5872,1834,-322,348,-670,-366,,-4726,,-698,3805,,4164,4659.6375,6106,0.603,66.8065,1.898,160883,,102121,,58762,0,49145,13134,,,,,9617,,,695,,,-2998,,11295,470,,,,,,,,,3240,8055,0,,,8055,145,7910,0,0,7910,305.5,6906,1.14,1.14,1.185,7036,1.125,1.125,1.17,US GAAP,17921,11.1392,9617,36.5247,5.9776,4.9166,,12.6722,5.5732,10.1257,6.7762,4.4247,7.0206,5.0067,4.9166,28.6853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-29 00:00:00,7081,7080,1,22996,,,,8304,1060,0,7244,0,2018,,,,,40399,89829,187746,97917,12618,,,6154,0,,,,,,,6154,108601,149000,17720,22937,-2676,5770,-8446,0,0,0,,,,,-622,,-3298,-6123,-5705,-1859,493,-2352,-560,,-14247,,5392,8671,,14491,14842.3905,14556,2.0841,20.857,1.2944,206083,,167924,,38159,,12980,12044,,,,,25179,,589,589,,,,,27493,1406,,,,,,,,,11091,16402,-1730,,,18132,412,17720,0,,17720,,6953,2.55,2.3,2.5,7033,2.52,2.27,2.47,US GAAP,33309,16.1629,25179,18.5163,12.2179,8.5985,2069106.4257,26.4038,12.0741,21.2999,13.3553,34.4292,13.3407,7.9589,8.5985,40.3412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31 00:00:00,6547,6547,,19549,,,,7904,1161,0,6743,0,1681,,,,,35681,89602,190503,100901,10768,,,7123,0,,,,,,,7123,107493,143174,15320,22889,-8911,1078,-9989,0,0,0,,,,,700,,-8211,-6254,-2772,-5420,301,-5721,-765,,-15211,,-533,9855,0,12900,13085.9324,11206,1.8783,20.9234,1.4941,186808,,117848,,68960,,47450,12295,,,,,21510,,293,293,,,-4070,,24539,525,,,,,,,,,8967,15572,-317,,,15889,569,15320,0,0,15320,,6868,2.23,2.19,2.27,6941,2.21,2.17,2.25,US GAAP,29454,15.767,21510,36.9149,11.5145,8.2009,1908151.1747,21.2899,10.4869,18.454,12.3776,-19.035,13.1359,8.3358,8.2009,36.5418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31 00:00:00,7229,7229,0,21163,,,,8068,1241,0,6827,0,1831,,,,,38291,94940,204960,110020,2252,,,17161,0,,,,,,,17161,114353,152644,11460,21268,-8644,2793,-11437,0,0,0,,,,,-1114,,-9758,-6217,-307,-4499,299,-4798,195,,-10828,,682,6106,0,9831,10083.021,12317,1.4558,24.0006,1.8558,178909,,117091,,61818,,46848,11725,,,,,14970,,,398,,,-3557,,17719,490,,,,,,,,,6499,11220,-449,,,11669,209,11460,0,0,11460,,6753,1.69,1.62,1.69,6803,1.68,1.61,1.69,US GAAP,23280,13.0122,14970,34.5528,8.3674,6.4055,1934151.3514,15.5119,7.748,13.6317,9.2879,-82.7953,9.9039,6.2713,6.4055,36.6781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
